"","ISEQ","AEX","IBEX","WIG20"
"1997-09",0.0654376048641063,0.0595538513751286,0.112885307731825,0.0424622056254893
"1997-10",-0.0346247555293976,-0.0656848431334289,-0.122329695597948,-0.107984746937832
"1997-11",0.02393011518356,0.0257687571321035,0.0864679744665062,-0.0870522702247556
"1997-12",0.0777026381478623,0.0362359382257906,0.0466380505542598,0.05512593118127
"1998-01",0.079325586884663,0.0470192152144262,0.0969760234798973,0.00901022054868195
"1998-02",0.142262183622259,0.118854695875837,0.118243510810326,0.201919232307077
"1998-03",0.0539355295894315,0.0524137387883057,0.147076931401471,-0.0348746950543357
"1998-04",0.0117877072432904,0.00105645077843786,-0.0179740842097227,0.0765783880048256
"1998-05",-0.0471323452175444,0.0628580047562413,-0.00198486216867422,-0.136819637139808
"1998-06",0.0181203131563969,0.00150192504649804,0.0140619199628786,-0.00204005934718099
"1998-07",-0.0103823163113458,0.0241855826701578,0.0342289047679594,0.0524066158706562
"1998-08",-0.164305717793432,-0.116079439504097,-0.212413189563444,-0.311024780740479
"1998-09",0.000516837485421195,-0.140323745329853,-0.0711701368030485,0.00179410508329769
"1998-10",0.0266026951795479,0.0631696960103814,0.146355782756644,0.0443458980044347
"1998-11",0.076246226421518,0.108190031629783,0.0960795303912492,-0.0703903315368282
"1998-12",0.0569092984323576,0.0779294952042999,0.0198123273533968,0.0903021784961349
"1999-01",0.0341085941853616,-0.0116431547348079,0.00429012449123722,0.0878988076055429
"1999-02",0.0328344274809431,0.00757384614540069,0.0119953961499515,-0.0707990816855513
"1999-03",-0.00593723125990253,0.00151085206213941,-0.0256669165342797,0.118434685582211
"1999-04",-0.0147110266351681,0.0681467369620383,0.0240948212743888,0.0537304924107462
"1999-05",-0.0613378230580732,-0.0339308503999566,0.00971384656929164,0.00371948332995209
"1999-06",-0.0178817211431117,0.0128686496511883,0.0145248823687096,0.0950006737636437
"1999-07",0.0140581052429836,-0.0150037990163624,-0.0809014094568132,0.00221511198621704
"1999-08",0.0108646201778866,0.0355481706478944,0.0441017932957455,0.00282416502946958
"1999-09",-0.0439490406178232,-0.0436217667823801,-0.0286249895182992,-0.159115954450839
"1999-10",-0.042313874062139,0.0445154707568076,0.022686692599549,0.0400436840189298
"1999-11",0.0773271330342988,0.05297117559582,0.124888349089937,0.0910045502275114
"1999-12",0.0299805188935129,0.115095231313927,0.0623557459054507,0.147641963426371
"2000-01",-0.0228180010742512,-0.0879194089659434,-0.0692614796840622,0.067930224756793
"2000-02",0.0435178359359947,0.0847513367128963,0.161576731256172,0.226061462750641
"2000-03",0.103818721703429,-0.00299580133847432,-0.0517090287928531,-0.0283530466715061
"2000-04",-0.0466534415376376,-0.00137397972221776,-0.0391369977081254,-0.102263238848605
"2000-05",-0.0870151463598932,-0.00889050917104761,-0.0679636362273887,-0.0137556295280986
"2000-06",0.0002034331327887,0.0253852250190694,-0.0100294992503046,-0.00843798084081993
"2000-07",0.014080807414961,-0.0058916623197921,-0.00469698877935287,-0.0283325824698404
"2000-08",0.0837549935902626,0.0319375426136115,0.033527760194515,-0.0151460512080778
"2000-09",0.0617606966384159,-0.0406079579821337,0.0059992345470179,-0.116807030391798
"2000-10",0.0218749340418447,0.0287821644460584,-0.0535982618038838,-0.0708362947168918
"2000-11",-0.0237435210801942,-0.045021768969736,-0.110835547947251,0.0346506884242734
"2000-12",-0.00016251987544913,-0.0189561904884529,-0.0113624536291415,0.11892234899825
"2001-01",0.0294852080005383,0.00373275421829677,0.110452502832695,-0.0242760944614826
"2001-02",-0.00160236390431812,-0.0666426518529533,-0.0558125893698842,-0.159003442243666
"2001-03",-0.0578834393414769,-0.0652403711364131,-0.02545185256728,-0.0767883623090186
"2001-04",0.0527506002546003,0.0622000912189291,0.0486340877973583,0.0473439010386003
"2001-05",0.0743494208275846,-0.0133875173051931,-0.0266673562579041,0.0186394453966956
"2001-06",0.0267654853085837,-0.0199094651323128,-0.0655003794287402,-0.133981429126161
"2001-07",-0.0581975199806308,-0.0432084202266784,-0.0448730365655704,-0.0768474378943063
"2001-08",-0.0499749802254263,-0.045724535876242,-0.0187382730767315,-0.0295603861852701
"2001-09",-0.131125607299261,-0.133223859087296,-0.121029582032611,-0.102051210003161
"2001-10",0.0436538427964754,0.0142331329921908,0.0629340684890782,0.209031702880836
"2001-11",0.0464666581279258,0.070254006719749,0.0759425314366298,0.0126740969604813
"2001-12",0.0383361596907039,0.0286398311804701,0.00393312943695689,-0.0349107463759435
"2002-01",-0.0671328087073247,-0.0115631753651746,-0.041345098307612,0.196045814919642
"2002-02",-0.062875469145878,-0.0119979414757381,0.0105709263856006,-0.0535485701237866
"2002-03",0.0457616561119418,0.0733467048687906,0.0140372224845411,-0.0210477833664756
"2002-04",-0.00768323002528615,-0.0375181607548812,-0.0115519234974885,-0.0132332623875135
"2002-05",0.0177238556186019,-0.0522805723914109,-0.0250784512176043,0.0363573066531448
"2002-06",-0.0944053867684466,-0.0926426274104045,-0.130429308254925,-0.111744816959624
"2002-07",-0.105421167598029,-0.173020077577946,-0.0960075746141734,-0.122538742960496
"2002-08",0.0371377219421576,0.0220028055997448,0.029827434458404,0.0531528155157874
"2002-09",-0.127803344381494,-0.202454349712902,-0.156004783277876,-0.0704073734686795
"2002-10",0.0991918755187318,0.156836325254909,0.130290591414125,0.128721683622199
"2002-11",0.0474703060127923,0.0558569426654643,0.0889663941734389,0.0335851584293574
"2002-12",-0.0960570790605021,-0.108455979680543,-0.0970294903650692,-0.0355701394585726
