"","date","LRHUTTTTKRM156S"
"2006-12",2.04,3.4
"2007-01",2.05,3.4
"2007-02",2.06,3.1
"2007-03",2.07,3.2
"2007-04",2.08,3.3
"2007-05",2.09,3.3
"2007-06",2.1,3.3
"2007-07",2.11,3.3
"2007-08",2.12,3.3
"2007-09",2.13,3.2
"2007-10",2.14,3.3
"2007-11",2.15,3.3
"2007-12",2.16,3.1
"2008-01",2.17,3
"2008-02",2.18,2.9
"2008-03",2.19,3
"2008-04",2.2,3.1
"2008-05",2.21,3.2
"2008-06",2.22,3.1
"2008-07",2.23,3.1
"2008-08",2.24,3.3
"2008-09",2.25,3.2
"2008-10",2.26,3.3
"2008-11",2.27,3.4
"2008-12",2.28,3.4
"2009-01",2.29,3.3
"2009-02",2.3,3.3
"2009-03",2.31,3.5
"2009-04",2.32,3.7
"2009-05",2.33,3.9
"2009-06",2.34,3.9
"2009-07",2.35,3.8
"2009-08",2.36,3.8
"2009-09",2.37,3.6
"2009-10",2.38,3.6
"2009-11",2.39,3.7
"2009-12",2.4,3.6
"2010-01",2.41,4.7
"2010-02",2.42,4
"2010-03",2.43,3.6
"2010-04",2.44,3.6
"2010-05",2.45,3.2
"2010-06",2.46,3.5
"2010-07",2.47,3.8
"2010-08",2.48,3.5
"2010-09",2.49,3.8
"2010-10",2.5,3.7
"2010-11",2.51,3.3
"2010-12",2.52,3.7
"2011-01",2.53,3.5
"2011-02",2.54,3.7
"2011-03",2.55,3.8
"2011-04",2.56,3.5
"2011-05",2.57,3.3
"2011-06",2.58,3.3
"2011-07",2.59,3.3
"2011-08",2.6,3.2
"2011-09",2.61,3.3
"2011-10",2.62,3.2
"2011-11",2.63,3.3
"2011-12",2.64,3.2
"2012-01",2.65,3.2
"2012-02",2.66,3.4
"2012-03",2.67,3.3
"2012-04",2.68,3.3
"2012-05",2.69,3.1
"2012-06",2.7,3.2
"2012-07",2.71,3.1
"2012-08",2.72,3.2
"2012-09",2.73,3.2
"2012-10",2.74,3.1
"2012-11",2.75,3.2
"2012-12",2.76,3.1
"2013-01",2.77,3.2
"2013-02",2.78,3.2
"2013-03",2.79,3
"2013-04",2.8,3
"2013-05",2.81,3
"2013-06",2.82,3.1
"2013-07",2.83,3.2
"2013-08",2.84,3.2
"2013-09",2.85,3
"2013-10",2.86,3.1
"2013-11",2.87,3.1
"2013-12",2.88,3.2
"2014-01",2.89,3.2
"2014-02",2.9,3.6
"2014-03",2.91,3.4
"2014-04",2.92,3.5
"2014-05",2.93,3.5
"2014-06",2.94,3.5
"2014-07",2.95,3.5
"2014-08",2.96,3.5
"2014-09",2.97,3.5
"2014-10",2.98,3.6
"2014-11",2.99,3.6
"2014-12",3,3.6
"2015-01",3.01,3.5
"2015-02",3.02,3.6
"2015-03",3.03,3.5
"2015-04",3.04,3.6
"2015-05",3.05,3.7
"2015-06",3.06,3.7
"2015-07",3.07,3.7
"2015-08",3.08,3.7
"2015-09",3.09,3.5
"2015-10",3.1,3.5
"2015-11",3.11,3.6
"2015-12",3.12,3.5
"2016-01",3.13,3.5
"2016-02",3.14,3.9
"2016-03",3.15,3.7
"2016-04",3.16,3.6
"2016-05",3.17,3.5
"2016-06",3.18,3.5
"2016-07",3.19,3.6
"2016-08",3.2,3.9
"2016-09",3.21,4
"2016-10",3.22,3.8
"2016-11",3.23,3.7
"2016-12",3.24,3.5
"2017-01",3.25,3.5
"2017-02",3.26,3.9
"2017-03",3.27,3.6
"2017-04",3.28,3.8
"2017-05",3.29,3.4
"2017-06",3.3,3.7
"2017-07",3.31,3.5
"2017-08",3.32,4
"2017-09",3.33,3.8
"2017-10",3.34,3.7
"2017-11",3.35,3.8
"2017-12",3.36,3.6
"2018-01",3.37,3.5
"2018-02",3.38,3.7
"2018-03",3.39,4
"2018-04",3.4,3.8
"2018-05",3.41,3.8
"2018-06",3.42,3.5
"2018-07",3.43,3.8
"2018-08",3.44,4.5
"2018-09",3.45,4.1
"2018-10",3.46,4
"2018-11",3.47,3.9
"2018-12",3.48,3.8
"2019-01",3.49,4.1
"2019-02",3.5,3.8
"2019-03",3.51,3.8
"2019-04",3.52,4
"2019-05",3.53,3.8
"2019-06",3.54,3.8
"2019-07",3.55,4
"2019-08",3.56,3.5
"2019-09",3.57,3.6
"2019-10",3.58,3.6
"2019-11",3.59,3.7
"2019-12",3.6,3.7
"2020-01",3.61,3.8
"2020-02",3.62,3.3
