"","AUTPROMANMISMEI","LCEAMM01ATM661N","AUTPRMNCG01IXOBSAM","AUTPRMNCG02IXOBSAM","PIEAMP02BEM657N","BELPPDMMINMEI","BELPRMNCG02IXOBSAM","BELPRMNVG01IXOBSAM","BSSPFT02BEM460S","DNKPRMNCG02IXOBSAM","DNKPRMNIG01IXOBSAM","DNKPRMNVG01IXOBSAM","DNKPROMANMISMEI","DNKPIEAMP02GPM","DNKPIEAMP01GPM","PIEAMP01DKM661N","BSCICP02IEM460S","BSSPFT02IEM460S","IRLPIEAFD02GPM","IRLPROMANMISMEI","PIEAFD01IEM661N","IRLPIEAMP01GPM","BSCICP02NLM460S","BSFGLV02PLM460S","POLPROMANMISMEI","BSPRFT02PLM460S","ESPPROMANMISMEI","BSSPFT02ESM460S","BSPRFT02ESM460S","BSPRTE02ESM460S","ESPPIEAMP02GPM","SWEPROMANMISMEI","BSSPFT02SEM460S","BSCICP03SEM665S","BSPRFT02SEM460S","LCLCMM01SEM661N","SWESLMNTO02IXOBM","BSCICP02CHM460S"
"1998-01",-0.00966850817933629,2.0981946298724,-0.00836320195156959,-0.0573770496305042,-0.00540851553509786,-0.00540851553509814,-0.0438332342083552,-0.025816823399443,0.08,-0.0317634173055827,0.0362694300518069,-0.0226570545829045,-0.0258799171842654,-0.00200008548859674,-0.00528078310149402,-0.00528078310149493,0.225,-0.092,8.77715556328998e-06,0.0712830957230157,3.79938080495361,0.0247408652888263,0.031,0.061,0.0338550287718777,-0.12,0.00246898339479529,-0.067,0.017,-0.024,-0.00361287584486058,-0.0185792349726767,-0.00100000000000001,-0.00178133222085697,0.362,2.1392458920536,0.272422701891799,-0.0572
"1998-02",0.00418410022730109,1.6785669128589,0.00120481918688409,0.0231884054236895,0.00115700566932778,0.00115700566932775,0.0593450959299384,0.019174305458932,0.062,-0.00565610859728671,-0.0390000000000001,0.0252897787144362,-0.00956429330499498,-0.00217050562463992,0.00103586689110434,0.00103586689110435,0.21,0.09,-0.00096654185526734,0.043726235741447,3.0869969040248,0.00103039670273056,0.036,0.141,-0.000815623001334753,0.055,0.0537883380493163,-0.019,-0.00100000000000001,-0.00299999999999997,8.62552941695002e-06,-0.00222717149220519,-0.014,-0.00212604959936502,0.32,1.4261639280358,3.9955329610801,-0.0837333333333333
"1998-03",0.0125000001003335,0.155736027839296,-0.00361010830179587,0.0462700664145372,-0.00323587195192422,-0.0032358719519251,0.0180931413428611,-0.0350315647068902,0.036,-0.0193401592719017,0.024973985431842,0.00308324768756485,0.0193133047210305,0.0021395575942319,0.00323373431638866,0.0032337343163884,0.157,-0.00100000000000001,-2.35682933110898e-05,0.00546448087431606,2.96826625387001,-0.00021449019493813,0.029,0.09,-0.0151284785935814,0.039,-0.0295192600292409,-0.004,0.028,-0.027,-0.00120715671480932,0.00781249999999978,-0.014,-0.0018484267837876,0.311,0.916819668023003,12.1682140178348,-0.1151
"1998-04",-0.00137174204995238,1.3748995098806,0.0157004832651348,-0.0243682308208739,0.00649275362318847,0.00649275362318846,-0.026960422885165,0.0720094411658228,0.009,-0.0266821345707622,-0.0751269035532972,-0.0840163934426229,-0.0536842105263157,-0.00638417955424627,0.0073491490458999,0.00734914904590034,0.174,-0.059,0.00480544768002811,-0.0253623188405814,2.5804127966976,-0.0128899604948051,0.033,0.03,0.00592805578881417,-0.016,-0.0019462656925987,-0.005,-0.053,0.014,-0.00237559009974902,0.00996677740863783,-0.013,-0.000754450398172346,0.301,2.750459004069,-2.0885740478373,-0.1064
"1998-05",0.00824175803093663,1.03876905358049,0.00713436384845534,-0.00370027787883609,-0.00103674691855794,-0.0010367469185576,-0.0329632891169105,0.00484044033863174,-0.002,0.0238379022645971,-0.0131723380900111,0.0302013422818783,0.00444938820912077,-0.0082801835067695,-0.00102393446819404,-0.00102393446819371,0.19,-0.008,-0.00202345056180574,0.0092936802973993,1.74138286893711,-0.0147531987511373,0.025,0.066,-0.00375020357525024,0.02,-0.0015771062763924,-0.021,-0.00899999999999999,-0.034,-0.00119993143248966,-0.0208333333333335,-0.025,0.000868866539293078,0.291,1.7827049100447,0.544845403783597,-0.0985333333333333
"1998-06",0.00272479568055251,1.70466820851809,-0.00354191263079939,-0.0148560812137424,-0.00761070110701098,-0.0076107011070109,0.0324976637940984,0.0373612503236247,-0.065,0.196740395809084,0.140155728587324,0.140065146579806,0.122923588039867,0.00520448860826613,-0.00217809096732872,-0.00217809096732857,0.186,0.094,-4.20125914637498e-05,0.00552486187845203,1.8680288957688,0.00275970570662708,0.029,0.052,-0.00537144242384946,0.01,0.0103484177946542,0.021,0.052,-0.012,-0.00120137299771176,0.0279955207166853,-0.023,0.00115053027993617,0.285,2.0373770400511,4.2679556629719,-0.0845
"1998-07",0.002717391344355,1.5290606755999,0.0118483412695107,0.0424128180145773,-0.00116198001394392,-0.00116198001394363,0.0261512762696512,0.00572039017745962,-0.057,0.215953307392996,-0.00390243902439635,0.0276190476190477,0.0424063116370816,-0.00011833677493306,-0.00205444273240869,-0.00205444273240851,0.13,-0.101,0.00293155055834703,0.0402930402930426,1.48017543859639,-0.00791903813664745,0.029,0.067,-0.00714824651089885,0.028,0.00386443711741347,-0.037,-0.018,0.037,-0.00361135111947228,0.00653594771241917,-0.025,-0.000173018195431252,0.266,1.4261639280357,3.9047253937828,-0.1065
"1998-08",-0.0108401083971039,0.9577110399945,-0.0234192038199046,-0.0506329115715175,-0.00756165658445781,-0.00756165658445762,-0.0707093195945722,-0.00173691997820979,-0.103,-0.0560000000000024,0.00979431929481511,-0.0120481927710852,-0.0454115421002842,-0.0093158626592076,-0.00205867215645909,-0.00205867215646016,0.132,0.08,-0.000958534239596917,0.0475352112676031,1.2822910216718,-0.00582980498576538,0.015,0.112,0.0121251276742176,-0.062,0.00147678487025904,-0.022,-0.062,0.023,-0.00598401351581524,0.0119047619047612,-0.004,-0.00205049671418722,0.253,1.6808360580422,1.8161513459455,-0.1241
"1998-09",0.0397260274031344,1.1628477968695,0.00599520392292319,-0.00190476159247621,-0.00550931895440164,-0.00550931895440199,0.0214639046223108,-0.0199869254312616,-0.129,-0.0415254237288124,-0.00775945683802437,-0.0431519699812374,-0.00891972249752249,0.00112828613336365,0.00103145951521403,0.00103145951521522,0.146,0.038,-0.00273760626285161,-0.00840336134453623,0.649060887512903,-0.0035634289284332,0.035,0.033,-0.0351469838755859,-0.02,-0.00513198899915224,-0.002,0.021,-0.036,-0.00479421395832668,-0.0160427807486629,-0.005,-0.00216924248853745,0.257,1.7827049100447,2.7242270189182,-0.1419
"1998-10",-0.0105401844492576,2.17549267834841,0.0274135875429415,0.000954198316543087,-0.00447901933050451,-0.0044790193305051,0.0191961516284893,0.0142316583549686,-0.149,-0.389036251105218,-0.10752688172043,-0.0509803921568628,-0.106999999999999,-0.00846402486454822,-0.00940236991241625,-0.00940236991241628,0.112,-0.163,-0.00785959482411605,0.00508474576271079,-1.09232198142411,-0.0270787666439469,-0.008,0.037,0.000309091570963593,-0.028,0.00378492335410208,-0.04,-0.039,-0.074,-0.00359998431066046,0.00326086956521765,-0.00399999999999999,-0.00245673705044402,0.282,1.7827049100447,0.9080756729727,-0.181266666666667
