"","TRESEGAUM052N","CCUSMA02ILM618N","INTDSRKRM193N","IRSTCI01KRM156N","KORB6FARA01CXCUM","KORLOCOSIORSTM"
"1995-03",4.15114687042283,-0.0113645474948215,0,-0.0304,2.01547231270358,0.0177
"1995-04",0.0402334663129782,-0.00532637762483135,0,0.0071,-2.00621118012422,0.0061
"1995-05",-0.310038448912854,0.0144780625399425,0,0.00839999999999999,0.300322061191626,0.0044
"1995-06",-2.2259240902823,-0.00711037738581521,0,-0.00920000000000001,0.267492260061919,0.0108
"1995-07",-0.688553632325318,-0.00862606028657831,0,-0.0158,3.53264940563426,0.0226
"1995-08",4.90779004340323,0.0255316823630052,0,0.004,-0.576935512843542,0.0104
"1995-09",-0.383205902996193,0.00135874855773865,0,-0.00249999999999999,-1.16346807065217,0.0068
"1995-10",-0.631762014668957,-0.00853503021173652,0,-0.00260000000000001,-6.5438961038961,0.004
"1995-11",-2.93456541570975,0.0109823708023007,0,0.00269999999999999,0.0992316341829085,-6e-04
"1995-12",0.0226452072555767,0.0272846811308349,0,-0.0024,-1.37626800784247,-0.0023
"1996-01",-1.42336413463194,0.00153043478260795,0,-0.00659999999999999,-3.14884458541006,0.0071
"1996-02",1.67514894229688,-0.00531658381210209,0,0.0023,0.745598313125988,0.0065
"1996-03",1.19730993574851,-0.00448176700929981,0,-0.0042,-1.91731593887782,0.0107
"1996-04",0.0234327287012777,0.0183979058907981,0,-0.0083,-2.6695417434817,0.0143
"1996-05",-0.31221775661806,0.0316035560246453,0,0.0206,-0.820089127262689,-0.0065
"1996-06",-1.72227391877507,-0.000140211251618894,0,0.00879999999999999,-0.196843489697501,-0.0105
"1996-07",4.47944782644216,-0.0235120498420734,0,0.0059,-5.79585152838428,-0.0136
"1996-08",-0.196361496775699,-0.0103241921927308,0,0.0249,-0.178010471204188,-0.0344
"1996-09",-0.0252433923893587,0.00673746056972258,0,-0.0141,-0.670174466906674,-0.02
"1996-10",-0.340184335629593,0.0183165100253515,0,0.0053,0.266792611251049,-0.0271
"1996-11",-0.30153029981994,0.00590110813477174,0,-0.0018,-1.25766362883181,-0.0253
"1996-12",0.692514317969577,0.00938152143165949,0,-0.0196,5.88681672025724,-0.0038
"1997-01",0.0844194685090094,6.87966263108741e-05,0,-0.0118,-2.59902885423476,0.0081
"1997-02",0.0642027002866061,0.019268911132942,0,0.00189999999999999,-0.357334734875029,0.0047
"1997-03",0.181066558114706,0.00842853505256214,0,0.0142,-0.521490231712858,-0.0081
"1997-04",-0.0953316759056477,0.00750374222620009,0,0.000300000000000022,-2.69559437903532,-0.0076
"1997-05",-0.0441782230808394,0.00213096737877838,0,-0.00560000000000002,0.886661440250868,-0.002
"1997-06",0.198960445940638,0.0152264027058397,0,-0.0125,-0.156773121215719,0.0053
"1997-07",-1.16329306081379,0.0270904348546113,0,0.0024,-0.510454065469905,0.0031
"1997-08",-4.34175156031849,-0.00393690207459929,0,0.00979999999999999,-4.58513085993673,-0.0067
"1997-09",0.0646683701115438,-0.00627145311555388,0,0.0074,-0.67815169868838,-0.0141
"1997-10",0.592195363879108,0.00280225036366111,0,0.00409999999999999,-0.91463110667996,-0.0182
"1997-11",-0.0652605761084334,0.00443775646413291,0,0.0055,85.8423357664234,-0.0184
"1997-12",-0.253603368152581,1.16898546222988e-05,0,0.0659,-0.333820834804243,-0.0596
"1998-01",0.166863013503881,0.0118659027146977,0,0.0467,-1.783971334124,-0.0868
"1998-02",-0.16657912739761,0.00530912696899244,0,-0.0181,0.0266512166859791,-0.0692
"1998-03",-1.25386739466189,-0.00217010266254902,0,-0.0109,-0.040443942814146,-0.0585
"1998-04",0.551380350453806,0.0330405687996653,0,-0.0104,0.884238384630465,-0.0531
"1998-05",0.15094244152638,-0.0104363472784534,0,-0.0262,-0.429866999601172,-0.0271
"1998-06",0.490522040532837,-0.000574432386415191,0,-0.0234,-0.32869004531768,-0.0184
"1998-07",0.406412665925202,-0.00114179447807183,0,-0.036,-0.0483417905038057,-0.0059
"1998-08",0.261650866821412,0.0129856245131668,0,-0.033,-0.0694120447512497,0.0206
"1998-09",0.176463833656011,0.0369689263458757,-0.02,-0.0105,-0.238450913183609,0.0339
"1998-10",0.0200942747814685,0.0885412972027144,0,-0.0109,0.0203546956872229,0.0231
"1998-11",-0.285466528780082,0.00986557475571437,0,-0.000999999999999987,0.0873000197511358,0.0141
"1998-12",-0.0657728797154555,-0.0117242821920531,0,-0.0025,-0.00587344838026038,0.0046
"1999-01",0.0113617623567819,-0.0223051017504819,0,-0.0067,0.100864904373249,0.0112
"1999-02",-0.0393253589715332,-0.00391051355007266,0,-0.00720000000000001,0.244771494965143,0.0275
"1999-03",-1.19711620868729,-0.00866807509303169,0,-0.00630000000000001,0.00311138767890484,0.0308
"1999-04",1.18637431535324,0.00568567773807804,0,-0.0021,-0.176976249556895,0.0228
"1999-05",-0.144058767223521,0.015010485402901,0,-0.000299999999999995,0.292774846559707,0.0319
"1999-06",0.269353470692913,-0.00655052374742493,0,9.99999999999959e-05,-0.70648009328669,0.0313
"1999-07",0.0733819076202926,0.00175627758078356,0,0,2.15593076049943,0.0365
"1999-08",-0.120227981266928,0.0256100132044694,0,-0.000499999999999994,-0.922942049184013,0.0456
"1999-09",0.169522343820288,0.0105486373324386,0,0,0.614935822637106,0.0507
"1999-10",3.20752652069019,0.00433651255885947,0,0.000299999999999988,1.45303468208092,0.0433
"1999-11",0.242812185394327,-0.00886958817049921,0,-9.99999999999959e-05,4.88777614138439,0.0481
