"","ARGXTEXVA01GPSAM","IMP3570","XTEITT01BRM156S","EXP3510","BRAXTEXVA01NCMLM","XTEXVA01BRM657S","XTIMVA01BRM657S","IMP3510","BRAXTIMVA01NCMLM","XTEITT01CNM156S","XTEITT01INM156S","EXP5330","XTEXVA01INM657S","IMP5330","XTIMVA01INM657S","MEXXTIMVA01NCMLM","IMPMX","RUSLOCOBXNOSTSAM","XTEXVA01RUM657S","RUSXTEXVA01NCMLM","TURLOCOTXORSTM","TURXTIMVA01CXMLM","TURLOCOMGORCXMLSAM"
"1996-03",0.0865894451803059,12.5,-0.095622926726223,-160.9,-16256912.6637001,-0.0617185245337976,0.0398871994753169,-58.8000000000001,-369783710.515501,0.9005129029695,0.874278107911584,37.6,0.147393682960208,-42,0.0900939424115109,8867797212.7892,220.099999999999,-0.000551939482741126,0.0391576099239889,-1534724400,0.201,1267771622.10824,0.0140405714045033
"1996-04",-0.00280336898218306,26.1,0.124558780345556,-202.4,1147779474.1214,0.177454215575556,0.0318970122090874,68.9,900548995.164101,1.04542136337176,0.948750442477247,-6.69999999999999,-0.0063875894489498,109.3,-0.0843813721700871,22084929452.6876,1265.8,-0.000471424958973232,-0.0788612729495036,-3932193400,0.16,673644902.21547,0.0379778743782073
"1996-05",0.0890947774777554,30.9,-0.0137139755076099,9.69999999999993,712884321.0284,-0.0343990444665505,-0.0210752474956141,21,-689349194.493501,1.05041564873465,0.867173693342103,-16.1,-0.0553017918383431,-57.8,0.0335678421546025,19583490525.5341,1114.5,-0.000393022550482014,-0.0077497275845778,2147223000,0.14,1319016265.10095,-0.0121103470542349
"1996-06",-0.0188021622975231,45.6,-0.13783583466357,148.2,79345208.2577,-0.0870290655970744,0.0599731791957343,4.89999999999998,-138552108.9266,1.02203202999471,0.946035597827018,-64,0.0163660908501615,-34.7,-0.0683585915639436,14361301200.6549,903.200000000001,-0.000322828966754063,-0.0335095171334734,-652412000,0.101,376143831.29424,-0.0545074799689367
"1996-07",0.0496330495567423,44.3,0.051638151247158,215.6,769954563.0472,0.0523224272519207,-0.00754445253254981,13.6,1423486111.7207,1.115609146693,0.946752929549513,-93.2,-0.0435487511925758,57.7,-0.0442734310962498,25053622023.5754,1267.1,-0.000287719890347371,0.0190035443804789,7220440000,0.084,1045006995.90942,0.0740464901192248
"1996-08",0.00654321375003065,32.6,-0.0111013866777551,323.6,145836855.1236,-0.00424837473550583,0.00808096318204625,47.6,-599910951.672201,1.19990625051398,0.880167112864788,-67.4,0.000997412804121053,-13.1000000000001,0.0767242029291439,16781700612.5338,1118.6,-0.000287873558596274,-0.0142431503547403,-356964500,0.087,354954071.12578,-0.0519145609463517
"1996-09",-0.0749415760687595,99.8,-0.056109057053667,348.7,223620917.1761,0.00206169806059146,0.0689584935068779,36.7,804370645.1572,1.20333750444431,0.907823641706295,-71.7,-0.0145774637519382,30.9000000000001,-0.0445980156992208,19654144578.8973,1108.6,-0.000329693892736405,0.0210280179787914,-295040028,0.045,264424700.72984,-0.0142816345109877
"1996-10",0.104496695555742,71.3,-0.031190692763204,325.9,63642894.4000001,-0.00334982847491824,0.0350623937280686,-69.1,395294861.3858,1.32882511766733,0.846488747255485,102.5,-0.00556253102924516,31.9,0.0664924341371643,25178416588.0579,1398.9,-0.000412983756114094,0.0957652047307962,6321811358,0.126,424655583.3261,0.034198570324399
"1996-11",-0.0451472936033845,20.8,0.0781848383117439,229.1,128348074.1576,0.0381307020265986,-0.0533277516229446,-27.7,-808907615.341199,1.1422622540279,0.78519609311002,123.3,0.0134852516040372,-53,0.0925982293088201,16208312990.8228,925.599999999999,-0.000525946149697587,-0.0424734704263216,-5155063930,0.102,394720507.91064,0.00452037914202541
"1996-12",0.0346948468122247,57.6,-0.185918154967062,101.1,179702555.9659,-0.0797629083693884,0.164111093811416,-32.2,1126163648.7801,1.0716390485758,0.878321275142345,-6.60000000000002,0.0328653858918423,23.9,-0.0766455411439132,14712577523.5231,1194.2,-0.000649794212893684,-0.0218723205116544,2628935220,0.151,438115639.08772,0.0593817880025389
"1997-01",0.0549232144449617,-34,0.855259322646116,183.4,452769767.7872,0.118515343147354,-0.495961485202178,128.9,-2692470779.1498,1.25707976155565,0.740330841970778,0.200000000000017,0.0246235108177663,0.700000000000045,0.215603318871064,11566048795.3285,580.099999999999,-0.000774308728542894,0.0448992901822738,-1796037120,0.201,459050162,0.014381197116933
"1997-02",0.0100494772179588,100.1,-0.789661839746602,191.1,-42297188.6069002,-0.0818369373364327,0.863277682639912,74.4,1816268718.3552,1.15537864499437,0.731516332293159,33,-0.0303605521226448,1.89999999999998,-0.0186767442296301,10222746726.4993,951.3,-0.000883796296631378,-0.0548115416909208,-6916922000,0.204,239558528,-0.0402505469939529
"1997-03",-0.122311739292132,22.2,0.0359288801440931,381.3,680130216.947101,0.0513426615343957,0.00430633507845294,63.7,75708460.9365001,1.24043329565199,0.855897716594121,96.6,0.0775324276732573,59.7,-0.0790575157098171,13352818744.7233,1256.6,-0.000981823401516979,-0.00763817324396381,-680820000,0.202,88705705,0.0067626150421356
"1997-04",0.12068022012519,-4.10000000000002,-0.0060922243966951,328.6,676304850.7455,0.138024114209586,0.146723327235574,99.3,658790149.535799,1.30697985519059,0.826309688368988,66.9,-0.0998499296093136,-65.2,-0.0676178669039302,19119826003.5987,1103.3,-0.00106458370300566,-0.0618555430024819,1233771000,0.175,-160124105,0.027226722376072
"1997-05",-0.0262416415521291,-18.6,0.102653752039482,350.8,488250602.749599,-0.0555105857300473,-0.16328265232788,163.1,-1009422761.9601,1.30685518776754,0.917226352870912,70.2,0.166834365975902,-1.59999999999997,0.051176231810108,12256088263.5456,692.4,-0.00113625142723628,-0.013261738538316,-3146921000,0.136,419340713,0.0138267241754262
