"","RBARBIS","ARGCCUSMA02STM","IRSTCB01BRM156N","IRSTCI01BRM156N","TRESEGBRM052N","IRSTPI01INM156N","INTDSRINM193N","IRSTCB01INM156N","IRSTCI01INM156N","TRESEGINM052N","CCUSSP01TRM650N","INTDSRTRM193N"
"2001-02",0.00550263747106361,0,0.1525,0.1525,-2249554919.2656,0.00750000000000001,-0.005,-0.005,-0.005,6076991714.91759,-0.265291218215647,0
"2001-03",0.0190217391304348,0,0.1575,0.1575,-4027853428.3611,-0.015,-0.00499999999999999,-0.00499999999999999,-0.00499999999999999,4452652626.202,-0.0978689587017254,0
"2001-04",0.0229629629629629,0,0.1625,0.1625,6692182782.9239,0,0,0,0,4803783717.24,-0.102957024368729,0
"2001-05",0.0119478638667632,0,0.1675,0.1675,7625814669.6029,0.000999999999999987,0,0,0,5749407477.7606,-0.0567541950083368,0
"2001-06",0.00876565295169951,0,0.1825,0.1825,9856836977.1725,-0.000999999999999987,0,0,0,6829206357.4097,-0.0372178876471785,0
"2001-07",0.00610037240645522,0,0.19,0.19,7099441743.8452,0,0,0,0,7625528882.5936,-0.053159204674059,0
"2001-08",-0.0142419008002257,0,0.19,0.19,5660874445.9121,0.000999999999999987,0,0,0,9744814994.6951,-0.02586029608346,0
"2001-09",0.0101562779387048,0,0.19,0.19,9343739712.0364,0,0,0,0,9344584594.3743,-0.122925616927855,0
"2001-10",0.00555811236591497,0,0.19,0.19,7770021572.5079,0,-0.005,-0.005,-0.005,10218961860.4898,-0.0244483519687891,0
"2001-11",-0.0187297563723419,0,0.19,0.19,5180762194.9386,-0.000999999999999987,0,0,0,7734092881.3218,0.0769584791854487,0
"2001-12",-0.0244331228473019,0,0.19,0.19,3129055647.3728,0.000999999999999987,0,0,0,7968226438.20399,0.0188928280074776,0
"2002-01",0.0258173660402339,0.400700350175087,0.19,0.19,785534945.641602,0,0,0,0,8170005399.6469,0.10824631177359,0
"2002-02",-0.499910371777865,0.393621428571429,0.1875,0.1875,529361656.3535,-0.000999999999999987,0,0,0,8802954955.0322,-0.0642923239087124,0
"2002-03",-0.148971252419528,0.222001260846612,0.185,0.185,2253733014.5735,0,0,0,0,11498198693.0177,0.0427838510984162,0
