"","BRAPROMANMISMEI","BSPRFT02BRM460S","BSCICP02BRM460S","BSCURT02BRM160S","INDPRMNTO01IXOBM","INDPRMNCG02IXOBSAM","CCRETT01INM661N","WPIAMP01INM661N","INDWPIAMP01GPM","BSCURT02MXM160S","MEXPROMANMISMEI","BSCICP02RUM460S","RUSPPDMMINMEI","TURPROMANMISMEI"
"1999-10",0.0178837555886731,0.267,-0.024,0.00399999999999989,2.9701227584296,-0.00779378726469238,-0.00907045236134618,1.6873116095508,0.00238804682857961,0.726643593,-0.0158099499111508,-0.0467450277233333,0.0350000020148482,-0.0205649715886079
"1999-11",-0.00826186990169375,0.22,-0.026,0.002,1.27943749593889,0.00407408799325304,0.0190969708080737,1.69325284761261,0.000100683945416798,0.72635614391,0.00210612909265562,-0.01724160787,0.0340000016547017,0.0414652077190683
"1999-12",-0.000316355583676486,0.198,-0.026,0,3.3356763286979,0.105777941998168,-0.00689851630209681,1.37638681765,-0.0059730729422312,0.73542624226,0.0198135279066198,-0.00732547506666668,0.0250000070601113,0.0481504851751782
"2000-01",-0.00158227848101289,0.149,-0.03,0.00200000000000011,2.0333917346172,-0.0589649250504942,0.00221125402441502,1.1327960571163,-0.004560044979806,0.72074143619,0.0239965102676105,-0.0202828879166667,0.0339999964182844,-0.049110402353006
"2000-02",0.000950871632330097,0.192,-0.014,0.004,3.0158169547131,0.0426869829492249,0.0164533800004789,1.0892269779964,-0.000804292980448982,0.7406053894,0.00536580957282551,-0.0594061560866667,0.0289999944043988,0.0301507537688444
"2000-03",0.0159383576103018,0.207,0.001,0.003,3.4042176231232,0.101914606022966,0.0190367613893385,1.2674641198504,0.00320763594810753,0.72807882305,0.00312368751316705,-0.03486548164,0.0169999991800018,-0.0219512195121951
"2000-04",0.0111168831168826,0.203,0.012,0.00399999999999989,2.444639501169,-0.0326836286883695,0.00988964662706948,1.5090744676969,0.00444378369046025,0.72101343401,-0.00213680032103158,-0.0848934143833334,0.0160000002546188,0.0448877805486283
"2000-05",-0.00431565967940717,0.236,0.037,-0.00199999999999989,2.1933214216095,0.0404559935355959,0.0137420164330826,1.0357558354402,-0.00882478337572843,0.72810360444,0.0115802646255159,-0.0442217073266667,0.0140000000626521,0.00954653937947492
"2000-06",0.0201238390092873,0.254,0.061,-0.00100000000000011,2.1019330290424,-0.0102844199869002,-0.0393681827742317,1.0595207876874,0.00039196786257217,0.73130560795,0.0101320214280451,-0.01740168335,0.0230000003192359,0.0260047281323876
"2000-07",0.0120384420839661,0.298,0.095,-0.00099999999999989,1.9876975383336,-0.00779068465769028,0.00283992216938156,1.3783672303373,0.00576934393648398,0.72951600918,0.0422169017108169,-0.0246476394833333,0.0150000043788636,0.00460829493087567
"2000-08",-0.000799680127948954,0.26,0.071,0,1.9420033420501,-0.0149638649127593,-0.0132930337701117,1.5348198326313,0.00278538644694624,0.73839495779,-0.0389916132342065,-0.00999832664000001,0.0149999975701895,0.0275229357798163
"2000-09",-0.0209083633453387,0.257,0.056,-0.00100000000000011,2.2618627160348,-0.0215989832830366,0.00765294815025297,1.6853311968636,0.00260013913362392,0.73212729213,0.00224190653393164,-0.00113956355666666,0.0210000071719372,-0.0535714285714285
"2000-10",0.0165525697353639,0.264,0.041,0,2.147627225326,-0.0120270627487206,0.00107883139470721,1.6833507841763,-0.00016115490655052,0.72800147972,0.00268469354700529,-0.00514241510666667,0.0259999953872307,0.0141509433962264
"2000-11",-0.00502563071665529,0.23,0.04,0.005,2.6959575807284,0.0639698795385548,-0.00804612437408103,1.8813920529029,0.00350657072304865,0.73105606627,-0.0225276406616041,0.000562193989999997,0.0100000034511931,0.0209302325581395
"2000-12",0.0381856753207397,0.217,0.035,0.004,1.3708258885059,0.00495009055603801,-0.00820542052771378,2.3764952247195,0.00877170033829532,0.71165601326,-0.0185660910059479,-0.0226384787066667,0.00200000079422336,-0.0478359908883828
"2001-01",-0.0134280432032697,0.217,0.06,-0.00299999999999989,1.8049207531995,-0.0552918795517101,0.00245281993791435,2.4576921448974,0.00144878932019614,0.72476107956,0.0355045773234031,-0.07656045496,0.0149999972349744,-0.0454545454545454
