"","LRHUTTTTMXM156S","MEXLOCOEMORSTM","LMUNRLTTRUM647S"
"2008-08",0.000649436091150306,-0.00375105884009088,-163763.57115673
"2008-09",0.000730959775792593,-0.0102068315392978,-167326.04705014
"2008-10",0.000280427138537799,-0.0113056722379224,-176026.03667705
"2008-11",0.0066780455088576,-0.0130496749262049,-189390.10074087
"2008-12",0.0016522666072048,-0.0130689600146122,-29459.2637146199
"2009-01",-0.0004301102632659,-0.0136628961547459,158897.58415554
"2009-02",0.0042062337468436,-0.0171202434989347,441425.64598715
"2009-03",-0.00116774205050149,-0.0152439767660115,643743.88921911
"2009-04",0.0034271277129369,-0.00625489604365131,794262.60280351
"2009-05",0.0027093966146623,-0.00672653467616966,810313.59988926
"2009-06",-0.0030758242538858,0.00061460279663093,812273.6949948
"2009-07",0.00341639555485999,-0.00174090552985016,823974.7381901
"2009-08",0.00136502056330681,0.00275937794307194,811225.02883366
"2009-09",0.0011641532077483,0.0077234980649721,787230.1619075
"2009-10",-0.0017607363788326,0.00576237714715349,765108.26998797
"2009-11",-0.00319624392664561,0.00612190063248612,741387.69976746
"2009-12",-0.0014366716337259,0.00270582486210925,625188.08426395
"2010-01",0.00263504766905531,-0.0041067980701209,499650.69020137
"2010-02",-0.00225729514595811,0.00229735506558594,284695.3307992
"2010-03",-0.0021139215839112,0.00532512367708719,62471.7770793596
"2010-04",0.00360333015202471,0.00928538925837401,-116192.31697123
"2010-05",-0.0010052929587998,0.0105466098570468,-195579.47401343
"2010-06",-0.0020962919638381,0.0015138572185898,-281015.3692508
"2010-07",0.0012135215120052,0.00909880425669004,-357982.05751401
"2010-08",-0.00251048042766491,0.00369571579806364,-406713.40517279
"2010-09",0.0020794408660453,0.00300177271182141,-442166.76329188
"2010-10",0.0023263073337025,0.00130522744822784,-486634.37818688
"2010-11",-0.000442288609522903,-0.000169663624446933,-515280.11747264
"2010-12",-4.8061733441504e-05,0.000977261854644888,-555941.91620626
"2011-01",-0.0027782317573954,-0.000702470874154431,-589690.97749601
"2011-02",0.001369665929198,0.00400478522114982,-625221.11837348
"2011-03",-0.0036901267338887,0.00587794431753885,-584696.91072118
"2011-04",0.0027116336975569,0.00334347439827539,-545191.89017561
"2011-05",0.00206491018442981,-0.00231006494894598,-495603.917955
"2011-06",0.00111300129561309,0.00428441522668714,-443518.53433143
"2011-07",-0.0029996421575005,-0.00142334476392559,-410122.82642801
"2011-08",0.00153113590278091,-0.000473554444199754,-382225.74225406
"2011-09",-0.0011227324641922,0.00299404448445323,-340984.63750002
"2011-10",-0.0042701898100008,-0.00170822358800938,-314837.47802725
"2011-11",0.00278541468135179,6.23464333029915e-05,-306348.38397864
"2011-12",-0.00123234771204259,0.0012301498489659,-300998.58275931
"2012-01",-0.0030164565068335,0.00439564298781528,-310484.05988305
"2012-02",0.00556159693913599,0.0026449971458,-327570.23990554
"2012-03",-0.00266034834706119,0.00249438077375522,-327938.34839516
"2012-04",-0.000626058854849607,0.00539636335000451,-343843.11332437
"2012-05",0.000500120020697103,0.00279558004577982,-328491.14033639
"2012-06",-0.000942328427557503,0.00393646782604736,-302565.60707786
"2012-07",-0.002016743605377,-0.0013033109332844,-298776.86233033
"2012-08",0.0029873094248743,0.000575218150082496,-265828.05154696
"2012-09",-0.0034303894501219,0.0030107506761727,-245887.99004305
"2012-10",0.0024424165447438,-0.00066789177220847,-231373.71292096
"2012-11",0.0037150693764661,0.00128191469939747,-209186.28682228
"2012-12",-0.0032351256144549,0.00355160792347794,-217509.58741406
"2013-01",0.0024939743399173,-0.00395290816481238,-222064.50927288
"2013-02",-0.0035828875479536,0.00135524366688763,-227163.95681479
"2013-03",0.0005918200991894,0.0043015705979253,-222741.49449099
"2013-04",0.0023686536224176,0.00253968237194794,-190477.94865062
"2013-05",-0.000603255917283607,0.00567646181960282,-172151.062144671
"2013-06",-4.76526652336898e-05,0.00267488474040183,-159103.230586644
"2013-07",-0.002580836864424,0.00170894593542288,-146214.461257802
"2013-08",0.000111905739300901,0.00053723577034793,-147970.12897248
"2013-09",0.001102996076655,8.69407303906473e-05,-147413.312970763
"2013-10",-0.000577992682196105,0.00122959275810591,-142055.35585929
"2013-11",-0.0025711461899694,0.000418664357189898,-145384.40640165
"2013-12",0.0012861672007741,0.000824911400510814,-144760.132577413
"2014-01",0.00128391929059959,0.0048705156017785,-138177.950976309
"2014-02",-0.0020696187836665,0.00208908433613953,-138578.842150264
"2014-03",0.005447597279205,0.00219861666870975,-136491.323120512
"2014-04",-0.002776268342282,0.00453578663857154,-122121.52681913
"2014-05",0.0011804042233569,0.00369613711713348,-105244.839541576
"2014-06",-0.0018537244614358,0.00244790701188999,-102104.506180174
"2014-07",0.0028207000100717,0.00163608585281087,-94820.223025104
"2014-08",-0.0032142293078538,0.00141959247551669,-95287.2217194759
"2014-09",-0.000734779191139699,0.00307239388031243,-86927.712312881
"2014-10",-0.00132862229587549,0.00395765709191683,-59526.859891268
"2014-11",0.000499658844364995,0.00150031958744387,-50333.336584726
"2014-12",-0.004969835706366,0.00118104088799182,-34296.657678589
"2015-01",0.0015138955362388,0.000656423713204957,-810.333866334055
"2015-02",0.000180516089449696,0.00176629572314582,41570.629163394
"2015-03",-0.0012230574880734,0.00177259750979526,67496.765091202
"2015-04",0.0018454450871136,0.00530640718330826,87918.364638594
"2015-05",0.001227436719615,0.000567128950861874,100050.81576612
"2015-06",-0.000986703445508406,0.00510237583626785,104199.754920905
"2015-07",0.000116395794228098,0.00153819853464545,114648.742049994
"2015-08",-0.000737937896007894,-0.00158835952029886,116119.20702084
"2015-09",-0.0019761633189322,0.00308884517687694,116044.812240472
"2015-10",0.00259195665113141,0.00472317032727902,111674.267143246
"2015-11",-0.0035128663141742,0.000607054034599308,117879.272363933
"2015-12",0.0027684975982601,0.00145401033825583,118622.703467632
"2016-01",-0.0028153002542301,0.00419105059287445,99130.257255653
"2016-02",0.0008540151076845,0.000502386058175451,84137.7655556799
"2016-03",-0.000742927141693495,0.00108184825282847,68216.0301359301
"2016-04",-0.00180763112915421,0.00199142273853798,41664.6397630359
"2016-05",0.0020263605298455,0.00569186540185255,8149.99641809217
"2016-06",-0.0015677193772599,0.00213215116970301,-10147.6913522261
"2016-07",-0.0016536713372155,0.00141871224473303,-34566.626449885
"2016-08",-0.000525173427759693,0.00466591633144025,-53741.072303726
"2016-09",0.000988681872015895,0.0031204054424906,-64228.9835251401
"2016-10",-0.0027396891572305,0.00182374284847539,-81735.442566143
"2016-11",0.000547255622797296,0.00335998287501987,-95476.7063647449
"2016-12",0.000766007595806598,0.00171983648438649,-103571.166566534
"2017-01",-0.00243289414623669,0.000209906179022366,-116744.335839806
"2017-02",-0.000616225450535107,0.00563022550361957,-133664.584424816
"2017-03",0.00107333623583231,0.00626082476095859,-146619.297861207
"2017-04",0.0006249645474357,0.001613401539641,-168942.406072022
"2017-05",0.000603703585431596,0.00195644838616311,-165511.038257636
"2017-06",-0.003424027144181,0.00470413878029552,-154161.447157493
"2017-07",-0.000385218923706201,0.00303576624995252,-152254.209356509
"2017-08",0.0004417586297389,0.00426984324613602,-142920.514371618
"2017-09",0.000453490271886799,-0.00128560947320572,-136856.504413413
"2017-10",0.000852876224136406,0.00171678902474418,-130052.358884884
"2017-11",0.000803020445351993,0.00242466286117039,-118713.243066766
"2017-12",-0.000865070034189397,0.000181194720743718,-115648.060293818
"2018-01",-0.0021423016782666,0.00259748789141985,-115331.185074037
"2018-02",-0.000481845159768998,0.00251402070400978,-120581.187560072
"2018-03",0.0004656178105703,0.00186477635904684,-120885.46657997
"2018-04",0.0026048116140113,0.00240806291201368,-116000.8217656
"2018-05",-0.0018954016532867,0.00669125486364769,-111313.428997758
"2018-06",0.000620633445961999,0.00109577797681642,-112319.474853609
"2018-07",-0.000560419666005098,-0.000662505814932844,-111762.561196581
"2018-08",-0.000734067854841203,0.00143562616445473,-100262.912877111
"2018-09",0.000735720858267598,0.00135979727493099,-90253.407302318
"2018-10",-0.00129639046202139,0.00163529393984142,-79648.689313427
"2018-11",0.0016641552024408,0.000687331344925376,-74869.17606651
"2018-12",0.0032439309485026,0.00117795506319997,-77477.6884130059
"2019-01",-0.0026035808208877,0.00314066281899138,-40045.0958678451
"2019-02",-0.000970397014086903,0.00136167419789382,7070.08347524796
"2019-03",0.0026209927422883,-0.00267129379358701,43016.457865381
"2019-04",0.000428073473341797,0.000570279520219891,63109.0939293719
"2019-05",2.03584803989965e-05,0.00419296129073435,49524.751269064
"2019-06",-0.000421641044855196,-0.000675776972464552,36837.416972902
"2019-07",-0.000195054026657003,-0.00342087931111694,32278.9867198209
"2019-08",-0.000740731673407699,-0.00212464234333744,23922.375636478
"2019-09",0.000378067144999904,-0.00553240959776241,10481.0682844961
"2019-10",0.000754783522631995,-0.00354156085937318,7174.15810734208
"2019-11",-0.000673950584692898,-0.00192345626402561,2610.56987106206
"2019-12",-0.003124917041186,-0.00330537013429179,-929.866263320087
"2020-01",0.0044187894551516,0.000343558352623919,-27729.3627484959
"2020-02",-0.000874376267176395,-0.0012534978270397,-62187.9426439579
"2020-03",-0.0028372748113446,-0.00440583935403687,-83892.206341778
"2020-04",0.0163733814491602,-0.0150091918909611,498239.80291372
"2020-05",-0.0056856797115631,-0.0155916210719421,1372301.67887088
"2020-06",0.0120857174303745,2.3073291799846e-05,2039556.18984109
"2020-07",-0.00395181921228731,0.00620473112215727,2581668.56230827
