"","BSEMFT02BRM460S","BRALOCOBPORSTSAM","BRAPRMITO01IXOBSAM","CHNPRINTO01IXPYM","INDLOCOPMNOSTSAM","INDPRENEL01IXOBM","INDPRINTO01IXOBM","INDLOCOPGNOSTSAM","INDPRMITO01IXOBM","MEXLOCOBPNOSTSAM","MEXPRENTO01IXOBSAM","MEXPRINTO02IXOBSAM","MEXLOCOBPORSTSAM","BSEMFT02RUM460S","RUSPRINTO01GPSAM","RUSLOCOBPNOSTSAM","RUSPRMITO01IXOBSAM","CP0430TRM086NEST","CP0440TRM086NEST","TURLOCOPEORMLSAM","TURLOCOPENOSTSAM","CP0730TRM086NEST","SERVCOTRM086NEST"
"1999-03",0.013,0.177,-0.00599888392856995,0.0675808031341822,0.00326845739799952,2.224146851163,1.8626934243742,0.000723857589104648,-3.2712852297912,-0.0034400024938851,0.019234144897458,0.0027226766173023,-0.0112609667,-0.15,0.024052824305629,0.00370152253385791,0.00145632681340824,-0.0380154987534915,1.84,-0.00829086041032701,-0.000330049310775071,-0.00999999999999979,0.039423805913571
"1999-04",-0.00600000000000003,0.136,0.00912280701754287,0.000917431192660523,0.0033115349915751,2.308608123992,1.7562538001243,0.000797599820996586,-0.715593644016799,-0.0040012485828782,0.0193508238353295,-0.000137697716828145,-0.37703483993,-0.11,-0.0117617556969213,0.00359285702713796,0.000443585150118775,0.109845233098181,2.15,0.012686305435277,-0.000120124628499418,-0.180000000000001,0.00145878920495979
"1999-05",0.052,0.204,-0.00904033379693914,-0.00183318056828585,0.00327352935400804,1.323226607654,2.7674302304988,0.000872575464759384,0.460024485439398,-0.000981872990436838,0.00337727168628921,-0.0016774513972323,0.26215758802,-0.09,0.00329396185397013,0.0033665082581702,-0.0033635992589327,-0.1021647597254,2.27,0.0257796181478529,-0.000112614559142576,0.280000000000001,0.0364166059723234
"1999-06",0.037,0.226,-0.0130526315789486,0.00183654729109262,0.00316536630503794,1.5766104261409,1.7828637061868,0.000953490504718379,-0.920048970878703,0.000688506142887624,0.00410803962793316,-0.00604075810803117,0.05263561529,-0.08,-0.00692511862393974,0.00305221283907109,-0.00567076827187663,0.0558886756238004,2.33,-0.00718999647074392,-0.000423515381809847,0.66,0
"1999-07",0.046,0.285,0.0218998862343567,0.00183318056828607,0.00298735924071991,2.393069396821,2.31506182743649,0.00103971062047603,0,0.00153141240638655,0.0182125488862832,0.0052872526353418,-0.17612741422,-0.09,0.0274372750597507,0.00267025510772467,-0.00468507672591234,-0.0541823819175067,3.12,0.00133048052792928,-0.000373096529403316,0.449999999999998,0.00491918482080123
"1999-08",0.005,0.25,0.00904536598942429,0.00182982616651417,0.00273424176173775,4.2230636414488,2.7142104183738,0.00112262946892083,1.3289596246027,0.00312506680682412,-0.00938107768868079,-0.00506580338217455,0.18893417412,-0.08,0.00204104243461116,0.00223588787996309,-0.00196371937792894,0.00403239976104297,3.13,-0.0216664119956791,0.000307850123464792,0.110000000000001,0.000699300699300576
"1999-09",0.013,0.246,0.0250999862087991,-0.0118721461187214,0.00241031684346993,6.024904128467,2.7142104183739,0.00119890146597657,3.0157160712138,0.00330295922243073,0.0183338460796283,0.00633492010392223,-0.10967738308,-0.05,0.0118423310464318,0.00176944752951647,0.00594440449324773,0.00821654234401437,3.16,0.00781705029505519,0.00180247409990941,0.359999999999999,0
"1999-10",0.023,0.267,-0.0111664200188351,-0.011090573012939,0.00199877126644732,3.60368097403629,3.0335292911236,0.00126722486058228,-0.817821307447801,0.00358852592295222,0.00473047989061626,-0.00164901858016442,0.0896747243,-0.04,-0.0308832155014063,0.0012881400945377,0.000990767204789522,0.0212589958313438,3.37,0.0365489757417954,0.00328494489435505,0.35,0.0957372466806428
"1999-11",-0.009,0.22,0.0159183673469385,0.00560747663551386,0.00147139579014555,3.1532208522818,1.4901547394993,0.0013212278549295,0.0511138317154973,0.00301054116781363,0.0258774851068078,0.0103483067762342,0.01041577012,-0.03,0.0287213580723895,0.000795341897648516,0.0135559775479213,-0.0476991227178882,3.79,0.0153883059697104,0.00391952156472408,0.310000000000001,0.0867346938775511
"1999-12",-0.016,0.198,-0.0056247488951382,-0.00185873605947939,0.000873912280146882,2.1115318207244,3.2996283517486,0.00135597894609574,0.511138317154902,0.00218917248251538,-0.0137950901810271,-0.000322928337260109,-0.05748212592,-0.04,0.161811677272944,0.00029970805425017,0.0142449751955283,-0.00084616694528461,3.75,-0.00874224532828649,0.00382277650520679,0.329999999999999,0.0721830985915493
