"","GSPC","DJI"
"1992-03",-0.0218318627041862,-0.00985401091986615
"1992-04",0.0278927145686407,0.0382012356668211
"1992-05",0.000963957075388544,0.0112529555229706
"1992-06",-0.0173588320593403,-0.0230798387535177
"1992-07",0.0393736840530081,0.0226909896037366
"1992-08",-0.0239975300346003,-0.0401909791474577
"1992-09",0.00910559381954346,0.00439001947265361
"1992-10",0.00210628297097992,-0.0138765481798303
"1992-11",0.0302618066586238,0.0244552275987024
"1992-12",0.0101077661744602,-0.00123739684758339
"1993-01",0.00704598945035428,0.00269300105475101
"1993-02",0.0104836273542177,0.0183716190332326
"1993-03",0.0186972978179294,0.0190755476797988
"1993-04",-0.0254168102144962,-0.00220081970141051
"1993-05",0.0227174628105251,0.0291403135102697
"1993-06",0.000755230010638819,-0.00321759871033489
"1993-07",-0.00532704593551381,0.00665226402161601
"1993-08",0.0344319568603759,0.0315810078672369
"1993-09",-0.00998793040809354,-0.0263279378295105
"1993-10",0.0193929229637428,0.0352927515444621
"1993-11",-0.012910626013377,0.000912859872919336
"1993-12",0.0100911732804509,0.0190393837953635
"1994-01",0.0325007452245494,0.0597401803747017
"1994-02",-0.0300449958486637,-0.0367840223268154
"1994-03",-0.0457465113537747,-0.0511636311858308
"1994-04",0.0115306438899816,0.0125771406975073
"1994-05",0.0123971434441716,0.0208274399063524
"1994-06",-0.0267908236582695,-0.0354968116089882
"1994-07",0.0314899078181938,0.0384942290401205
"1994-08",0.0375986986078056,0.0395590176650287
"1994-09",-0.0268775353188823,-0.0179459353710522
"1994-10",0.0208338164022916,0.016894865202292
"1994-11",-0.0395046126028842,-0.0432151858038707
"1994-12",0.0122991182864991,0.0254624512290629
"1995-01",0.024277710860833,0.00245672540056607
"1995-02",0.0360741497619916,0.0434953243213854
"1995-03",0.0273291934386468,0.0365589783743931
"1995-04",0.0279603587937993,0.039343982192346
"1995-05",0.0363117118399534,0.0332934800033626
"1995-06",0.0212785442244374,0.0203711324189508
"1995-07",0.0317760403854979,0.033443101275779
"1995-08",-0.000320238054016375,-0.0207944728392
"1995-09",0.0400974724131713,0.0387198120652439
"1995-10",-0.00497933494369041,-0.00701598166093553
"1995-11",0.0410490025795358,0.0670826615487086
"1995-12",0.0174438741384928,0.00840082077887794
"1996-01",0.0326173870867172,0.0543625480034826
"1996-02",0.00693370155235029,0.0167405547910977
"1996-03",0.00791656708058031,0.0185065713328176
"1996-04",0.0134314221533696,-0.00323243350930114
"1996-05",0.022853405672085,0.0133056262366784
"1996-06",0.00225671032293695,0.00202894585019542
"1996-07",-0.0457480171946675,-0.022233060271188
"1996-08",0.0188139351109193,0.0157896949917447
"1996-09",0.0542033275694922,0.0473557724598752
"1996-10",0.0261010032390308,0.025026472025131
"1996-11",0.073376151732637,0.0816535566763859
"1996-12",-0.0215054154049982,-0.0112593607195095
"1997-01",0.0613170391948192,0.0565763875998482
"1997-02",0.00592759000718046,0.0094891439097835
"1997-03",-0.0426140103964264,-0.0427844384911964
"1997-04",0.058405579422057,0.0646345126426586
"1997-05",0.058576884241925,0.0459409330860323
"1997-06",0.0434526155748975,0.0466238991951984
"1997-07",0.0781458095078891,0.0716556951794471
"1997-08",-0.0574656318333993,-0.072993911359013
"1997-09",0.0531535899379125,0.0423619735452709
"1997-10",-0.0344776971963378,-0.0633330043358886
"1997-11",0.0445868548937638,0.0511952264794706
"1997-12",0.015731597888258,0.0108907857412921
"1998-01",0.0101501767989975,-0.000227584315766749
"1998-02",0.0704491930437972,0.0808473695061025
"1998-03",0.0499457141614295,0.0297329951270469
"1998-04",0.0090764692534604,0.0299507102856547
"1998-05",-0.0188262235214751,-0.0180308119265126
"1998-06",0.0394382410752141,0.00585051993091534
"1998-07",-0.0116153270257895,-0.00767754044347158
"1998-08",-0.145796718556707,-0.151320086262918
"1998-09",0.0623955156177189,0.0402636266922045
"1998-10",0.0802942283724424,0.0955649363119599
"1998-11",0.0591259963396253,0.0610386540969161
"1998-12",0.0563752865757359,0.00711671458915486
"1999-01",0.0410094415367253,0.019321652076894
"1999-02",-0.0322825626861941,-0.00558296278108794
"1999-03",0.0387942153601588,0.0515312901173748
"1999-04",0.0379440279155454,0.102479406326201
"1999-05",-0.0249704808726868,-0.021253031240141
"1999-06",0.0544383310167942,0.038927053307285
"1999-07",-0.0320460922188938,-0.0287717777746835
"1999-08",-0.00625409204450045,0.0163423204375492
"1999-09",-0.0285517922684916,-0.0454628623129737
"1999-10",0.0625395416259653,0.0380102592726095
"1999-11",0.0190618586212496,0.0137885501904433
"1999-12",0.0578438948767794,0.0569333874632263
"2000-01",-0.0509035487493619,-0.0484112402354576
"2000-02",-0.0201080832610583,-0.0742396102138184
"2000-03",0.0967198282697324,0.0783556571326245
"2000-04",-0.0307957555519314,-0.0172139850266886
"2000-05",-0.0219150505129936,-0.0197113703138022
"2000-06",0.0239335496089013,-0.00707451956441096
"2000-07",-0.0163412762217727,0.00709146282131567
"2000-08",0.060699105184236,0.0658734486385029
"2000-09",-0.0534829747456113,-0.0503053656828204
"2000-10",-0.00494948587236088,0.0300649829634501
"2000-11",-0.0800686099610699,-0.050737610846242
"2000-12",0.00405344552919784,0.0358634932299078
"2001-01",0.0346365770863295,0.00921117982539688
"2001-02",-0.092290735849,-0.0360124094659892
"2001-03",-0.0642047105408955,-0.0587406895255573
"2001-04",0.0768143617590098,0.0866695513352065
"2001-05",0.00509018711964959,0.0164854403412888
"2001-06",-0.0250353891098335,-0.0375313668203375
"2001-07",-0.0107401500729342,0.00194328708106473
