"","BELLOCOBDNOSTSAM","BVEMTE02BEM460S","BSEMFT02BEM460S","BCEMFT02BEM460S","X00XHOUBEM086NEST","CP0500BEM086NEST","CP0410BEM086NEST","CP0430BEM086NEST","CP0432BEM086NEST","SERVHOBEM086NEST","CP0400BEM086NEST","CP1252BEM086NEST","BELLOCOBPNOSTSAM","CP0611BEM086NEST","BELPRCNTO01IXOBM","SERVRPBEM086NEST","BELCPGRSE01IXOBM","CP1120BEM086NEST","BVDEFT02BEM460S","BVDETE02BEM460S","CP0730BEM086NEST","BCEMFT02DKM460S","BSEMFT02DKM460S","CP0430DKM086NEST","DNKPRMITO01IXOBSAM","DNKLOCOBPNOSTSAM","CP1252IEM086NEST","IRLCP120000GPM","CP0730IEM086NEST","SERVTRIEM086NEST","BVEMTE02NLM460S","BSEMFT02NLM460S","CP0444NLM086NEST","NLDLOCOBPNOSTSAM","BVDEFT02NLM460S","CP0550PLM086NEST","CP0444PLM086NEST","ESPBRODFT02STSAM","BVEMTE02ESM460S","BVEMFT02ESM460S","CP0440ESM086NEST","CP0400ESM086NEST","CP0500ESM086NEST","ESPPERMITMISMEI","CP1252ESM086NEST","ESPPRMITO01IXOBSAM","ESPPROCONMISMEI","ESPPREND401IXOBSAM","CP1120ESM086NEST","SERVCOESM086NEST","BVDETE02ESM460S","ESPCPHP1200GPM","SWEPRINTO01GPSAM","BVDEFT02SEM460S","CHELOCOBDNOSTSAM"
"2000-02",0.00038558882075912,0.025,0.048,0.014,-4.76666666666669,0.539999999999992,0,1.23,1.95,-0.149999999999991,0.0113462128181538,0.759999999999998,0.00123535335594727,0.00195963158926116,25.2530079677524,1.03,1.0533960050754,-1.23999999999999,0.335,0.208,0.579999999999998,-0.006,-0.034,-1,-0.00296442687747034,0.00452986096554997,-0.0106870229007634,-0.00014035037210863,2.90000000000001,3.5,-0.158,0.006,-1.25,0.000459602774208978,-0.03,1.4210854715202e-14,-0.0999999999999943,-0.014,-0.149,0.025,0.159999999999997,0.00639407706545514,0.0699999999999932,0.00471851610803697,1.44,0.0337792392197893,0.00204778156996976,-0.0682958239430033,5.77999999999999,-9.82000000000002,-0.024,0.002,0.0505376344086021,0.471,0.000519576904433272
"2000-03",1.31427496705694e-05,0.071,0.046,-0.018,0.247787610619471,0.530000000000001,0,1.23,1.25,-0.0799999999999983,0.0110673135233474,0.759999999999998,0.000539912407754084,0.000977899471934274,17.9543911039431,2.03,1.4939070617433,3.14999999999999,0.356,0.203,-0.0799999999999983,-0.018,-0.038,-0.0999999999999943,-0.0014866204162538,0.00463956749361283,0.0108024691358024,-0.000419457071974331,3,3.7,-0.134,0.004,0.509999999999998,0.000508407374131048,-0.03,-1.4210854715202e-14,-0.600000000000009,0.049,0.2,0.182,0,-0.00187978179710546,-0.0699999999999932,0.00267206477732418,2.19,-0.0543251644617943,0.00340599455040858,0.030431050818744,5.45,-9.95000000000002,0.077,-0.001,0.00614124872057315,0.5,-3.1566097624669e-06
"2000-04",-0.00025889997785844,-0.23,0.076,0.016,-0.0354609929077995,0.540000000000006,-0.0100000000000051,1.42,1.26000000000001,-0.409999999999997,-0.00914679862048284,0.759999999999998,-0.000396875426157961,-0.00859710824540827,-0.210250672331497,2.43000000000001,1.6088229895698,-1.77,0.351,0.15,-0.210000000000008,-0.057,0.115,0.700000000000003,0.0352357320099255,0.00325365100748609,0.00305343511450396,0.0089361671960073,3.2,3.7,-0.11,0.00600000000000001,-0.0600000000000023,0.00042852467355603,-0.00600000000000001,0,0.100000000000001,-0.062,0.067,-0.012,0.0499999999999972,-2.02872790020514e-05,0,0.00129209399984109,2.23,-0.0331184755288377,0.00339443312966714,0.0246860159453013,6.88999999999999,-9.95000000000002,0.039,0.001,0.0111902339776196,0.347,-0.00121199559302088
"2000-05",-0.00045148837884712,0.043,0.067,-0.02,-0.0294117647058869,0.449999999999989,0.0799999999999983,1.3,1.13000000000001,0.0599999999999881,0.0119552058111381,0.759999999999998,-0.000788954313496903,0.0028577059519117,15.897774392876,1.97,1.42687277051131,-4.46000000000001,0.35,0.21,0.569999999999993,-0.02,0.122,-1.09999999999999,-0.0776605944391179,0.00135433805753116,0.00608828006088258,0.00538599640933573,2.7,3.1,-0.165,-0.007,0.230000000000004,0.000323604556647927,0.046,-0.0999999999999943,-0.299999999999997,0.025,-0.079,-0.103,0.0500000000000043,-0.00167710658089693,0.140000000000001,0.0112912331639667,2.14,0.0425765400512956,0.00338294993234078,-0.00760111060671931,7.05,-9.95000000000002,-0.088,0.002,0.0181086519114688,0.367,-0.00182656535544867
"2000-06",-0.000661686662764893,-0.019,0.065,0.024,0.356060606060607,0.529999999999987,0,1.41,1.07000000000001,0.0100000000000051,0.00179452669358438,0.759999999999998,-0.000722463928211958,0,-5.06724248139001,2.14999999999999,1.4651780797867,-0.790000000000006,0.411,0.203,-0.569999999999993,0.042,0.121,-0.0999999999999943,0.0722453222453223,-0.000100447623254452,0,0.00357142857142857,2.3,3.2,-0.218,-0.011,0.109999999999999,0.000162867054988913,0.047,-0.0999999999999943,-0.100000000000001,-0.00800000000000001,-0.046,-0.076,0.5,0.00164443368738532,0.159999999999997,0.00885238057260795,2.27999999999999,0.00298480298480297,0.0020229265003342,-0.00305309405018739,8.04,-9.82000000000002,-0.04,0,0.0286561264822134,0.407,-0.00156180932366068
"2000-07",-0.000849958138543383,0.094,0.076,0.037,-0.558659217877089,0.159999999999997,0.0700000000000074,1.47,1.07000000000001,0.159999999999997,0.00283624421555473,1.64,-0.000771507323649057,0,-3.8588503781783,2.87,1.6279756442075,-1.83,0.509,0.2,-0.150000000000006,-0.018,0.061,-0.600000000000009,-0.0150266602035871,-0.000943502511973837,0.00302571860816947,-0.0122057813573079,1.90000000000001,2.7,-0.273,-0.007,-0.109999999999999,-9.53895440992669e-05,0.091,0,0,-0.041,-0.041,0.012,0.149999999999999,-0.00265182695304933,0.0700000000000074,-0.00577075098813673,2.28,0.0374984122375654,0.00942126514132391,0.00375602885313642,8.55,-9.03,0.054,0.001,-0.0326609029779059,0.432,-0.00221402645293378
"2000-08",-0.00102259353580125,-0.051,0.035,-0.035,1.68354430379743,0.459999999999994,0,1.47,1.13,-0.0100000000000051,0.00997320631140197,1.64,-1.71719774296752e-05,0.000982607841210736,8.16859936164201,3.16,1.80034953594721,-3.07000000000001,0.41,0.23,1.01000000000001,0.016,0.052,0.5,-0.00984251968503935,-0.00191224861244055,-0.00452488687782804,0.00353982300884956,1.9,2.7,-0.236,0.021,-0.170000000000002,-0.0004728370836109,-0.00699999999999995,-0.200000000000017,0.200000000000003,0.057,0.039,-0.02,0,0.000817749656884859,0.0799999999999983,-0.0170151864514626,2.38,-0.0192856497392531,0.00199999999999712,-0.00569800569800527,7.94,-6.67000000000002,0.00800000000000001,-0.002,0.0208540218470706,0.434,-0.00103133813011014
"2000-09",-0.00141658762958452,-0.06,0.063,0.000999999999999987,0.033018867924532,0.540000000000006,0.0799999999999841,1.59999999999999,1.06999999999999,0.0700000000000074,0.0431834929992632,1.64,0.000316904289044739,-0.000981643270835497,3.350757580021,1.83999999999999,1.47475440710571,-1.05,0.334,0.234,2.13000000000001,0.039,0.061,-0.0999999999999943,-0.0631212723658051,-0.00355813373355629,0.0060606060606061,-0.0311074621419449,1.8,2.9,-0.201,0.018,-0.109999999999999,-0.000702331795184086,-0.00100000000000006,-0.0999999999999801,0.0999999999999943,-0.004,0.024,0.00600000000000001,0.0499999999999972,0.00457876905915588,0.140000000000001,-0.0190892178273894,2.42,-0.0275207542571121,0.00266134397870776,0.0175020313903256,7.22,-6.28,-0.029,0.004,0.00097276264591441,0.407,0.000208213510011657
"2000-10",-0.00189101885048615,0.055,0.093,-0.00799999999999998,-0.159817351598171,0.689999999999998,-0.0799999999999983,1.72,1.06999999999999,-0.0400000000000063,-0.00268437411698219,1.64,2.65918724522418e-05,0.000982607841210736,-0.188684138390002,2.17,1.1970409148585,2.08999999999999,0.391,0.194,-1.85000000000001,-0.043,0.074,0.199999999999989,0.0541114058355436,-0.00490959359580179,0.00150602409638556,0.00156630022375698,2.3,3.1,-0.164,0.022,0,-0.00071922033283045,-0.04,-0.100000000000009,0.200000000000003,-0.026,0.00999999999999998,-0.00600000000000001,0.0499999999999972,0.000761452815969399,0.219999999999999,-0.00948297188092606,2.41999999999999,-0.0398437547756879,-0.000663570006636971,-0.0176528071115629,6.5,-6.28,-0.041,0.002,0.0048590864917394,0.547,3.44673399605977e-05
"2000-11",-0.00209485416466049,-0.052,0.07,0.016,0.0217391304347783,1,0.0700000000000074,1.83999999999999,1.25999999999999,0.0600000000000023,0.00439155687774484,1.64,-0.000431003079506054,0,-4.91305912749701,1.66,1.14915927826419,1.57000000000001,0.401,0.178,-0.640000000000001,-0.009,0.095,0.300000000000011,-0.0075490689481631,-0.00483378748633567,0,0.00349040139616076,2.2,3.2,-0.121,-0.013,0.280000000000001,-0.00106890263692738,-0.075,0.100000000000009,0,-0.03,-0.081,-0.019,0.0600000000000094,-0.00619299991999767,-1.4210854715202e-14,-0.00183150183149905,2.42,0.0623062182070528,0.00332005312084971,0.0232433762260791,5.89,-4.19,0.041,0.001,0.0309477756286269,0.586,-0.000402663048946206
