"","BVSP","HSI","BSESN"
"1997-08",-0.175807955251709,-0.136291143881608,-0.0997918396174637
"1997-09",0.11198039400509,0.0646683172073745,0.0066948954814654
"1997-10",-0.238280918877681,-0.294066837483673,-0.0253176009066536
"1997-11",0.0455152459381261,-0.00912097514811949,-0.0638797319229912
"1997-12",0.0853645556146887,0.0186094108164532,0.0277196351754869
"1998-01",-0.0467784642541924,-0.13712830983885,-0.118781702926945
"1998-02",0.0875514403292181,0.240834779066361,0.123391882667279
"1998-03",0.130167439220509,0.00330990265006226,0.0746862507428874
"1998-04",-0.0225998158533524,-0.0985372036588542,0.0293006381093057
"1998-05",-0.156718335188833,-0.139557474955115,-0.0799688932796502
"1998-06",-0.017162587590129,-0.0438141307283263,-0.118191500260822
"1998-07",0.106323620582765,-0.0710397211523371,-0.012114315026885
"1998-08",-0.395535630895676,-0.0833094100141963,-0.0864008631687222
"1998-09",0.0186959208899877,0.0836311441226969,0.0574125927956664
"1998-10",0.0688609130896405,0.288132429191899,-0.0934148791237505
"1998-11",0.22477650063857,0.0243605449687507,-0.000650696715901899
"1998-12",-0.213996060711389,-0.0340058971802591,0.0870791940907008
"1999-01",0.204599056603774,-0.0539060924822539,0.0851473823457309
"1999-02",0.0904307391091532,0.0369825945933804,-0.0246443173644914
"1999-03",0.200314218381775,0.109926564339689,0.156500231071993
"1999-04",0.0612378459237097,0.218511812742428,-0.110768570872409
"1999-05",-0.0229935688485596,-0.0889568941179465,0.192555571433531
"1999-06",0.0484220018034265,0.114020402997551,0.0440385341169924
"1999-07",-0.101917949600069,-0.0255154990253911,0.0969901118739456
"1999-08",0.0117793526144416,0.0224396991475777,0.0783451104985176
"1999-09",0.0512068149550402,-0.0555916420047571,-0.0273140678054327
"1999-10",0.0534846029173419,0.041129355244677,-0.0671351115637451
"1999-11",0.177692307692308,0.159934238555084,0.0399701881945025
"1999-12",0.240438348211046,0.103068839929818,0.0829927385897045
"2000-01",-0.0411888602855137,-0.0842914378501455,0.0398476617243906
"2000-02",0.0776177690993409,0.105399419884081,0.0465257793870264
"2000-03",0.00906002265005657,0.0138093972519628,-0.0819078237034474
"2000-04",-0.128058361391695,-0.108421280713498,-0.0687284044837736
"2000-05",-0.03739219976831,-0.0518992134387728,-0.0480810622270952
"2000-06",0.118406097479441,0.0979973906578504,0.0710843233253606
"2000-07",-0.0163199426111909,0.0424120769422152,-0.0987434967423417
"2000-08",0.0542084472804618,0.0152324443028842,0.0461347339213103
"2000-09",-0.0818008877615726,-0.0847216534352,-0.0864202324389436
"2000-10",-0.0666122551481667,-0.0481590878391683,-0.0927444085515516
"2000-11",-0.106275644043855,-0.0611567245554951,0.07732913550814
"2000-12",0.148415744712877,0.0794557826954507,-0.00647071980287772
"2001-01",0.158201717019464,0.0666965199494056,0.0892722494675757
"2001-02",-0.100831777287388,-0.0816327755835897,-0.0184158374104622
"2001-03",-0.0914354036876219,-0.137087386686573,-0.151319542575191
"2001-04",0.0332456018839173,0.0490101129921037,-0.0236434487391128
"2001-05",-0.0179648746480762,-0.0158097452557604,0.0320388964467153
"2001-06",-0.00614334470989764,-0.0100103064530701,-0.048219776162774
"2001-07",-0.0553571428571429,-0.0556517660152644,-0.0368840362795326
"2001-08",-0.0663806892540352,-0.0995567736291639,-0.0253298242459136
"2001-09",-0.171715598473639,-0.102771045599503,-0.133545928147969
"2001-10",0.0685408048138398,0.0123880259262499,0.0632202282701728
"2001-11",0.137879454465464,0.119643031065463,0.0997574560435444
"2001-12",0.0499536034642747,0.010458138706031,-0.00767437873292398
"2002-01",-0.0631168065989099,-0.0589539157652796,0.0149279655447545
"2002-02",0.103136545869035,-0.0226333999434527,0.0758918003760576
"2002-03",-0.0554407468110881,0.052503458341546,-0.0260954154636656
"2002-04",-0.012825348924934,0.0421157915841892,-0.0378140522847861
"2002-05",-0.0171188383645395,-0.0170157238890943,-0.0636368351427258
"2002-06",-0.133893165383718,-0.0622362707852283,0.038061499797241
"2002-07",-0.123529939850974,-0.031248563161326,-0.0792215159743133
"2002-08",0.0634026426303391,-0.0217670586536358,0.0647934277273965
"2002-09",-0.16942785590445,-0.0967416090293116,-0.059684422124049
"2002-10",0.179171981908848,0.0406780751973823,-0.0140538208360883
"2002-11",0.0335365853658536,0.0665822975771218,0.0947676052635193
"2002-12",0.0722238081644304,-0.0743386031103067,0.0459796327678177
"2003-01",-0.0290202342917998,-0.00668789874997688,-0.0375746591666474
"2003-02",-0.0603235536057033,-0.0147198155438398,0.0102388121382548
"2003-03",0.0965859352203093,-0.0535161841668412,-0.0715481953966736
"2003-04",0.113801667553663,0.00958596437882409,-0.0291695966982597
"2003-05",0.0688858803854424,0.088349287974762,0.074653930883102
"2003-06",-0.0334525406049769,0.009458905947342,0.13405010862218
"2003-07",0.0461728204732907,0.0582335769194364,0.0514204450674614
"2003-08",0.118037135278515,0.076386101201686,0.119210744116703
"2003-09",0.0551601423487544,0.0294142607259757,0.0491221479298902
"2003-10",0.123102866779089,0.0855067317783476,0.101865127225023
"2003-11",0.122455789122456,0.0104486527662138,0.0281135843645155
"2003-12",0.10166468489893,0.0209840745484791,0.157416947424365
"2004-01",-0.0173142651556035,0.0567297285615402,-0.0245403359428858
"2004-02",-0.00439339160679142,0.0464777600866031,-0.00494413412041816
"2004-03",0.0177890140197656,-0.0881108566635534,-0.013570275337043
"2004-04",-0.114488302773011,-0.0582502119628973,0.0115353888436898
"2004-05",-0.00316213597184678,0.0213749584553262,-0.158347568597886
"2004-06",0.0820670248145305,0.00717396643460777,0.00752997993936311
