"","LFHUTTTTCAM647S","LFHUTTTTFRM647S","LMUNRLTTDEM647S","LMUNRLTTGBM647S","CC4WSA"
"1983-02",0.000445037828215478,-0.0432813286361349,0.0305131761442441,0.00327015979189893,-0.0469795973616853
"1983-03",-0.0120106761565836,0.00105207785376127,0.00986989681471506,0.00874138825098147,-0.0167696951111255
"1983-04",-0.000643210908856995,0.0383604834471887,0.0102176810306531,0.00594844679444817,-0.0116156144325158
"1983-05",0.00180214970715076,0.0323886639676114,0.00615655233069479,0.00616878376405317,-0.0197042371417563
"1983-06",0.000513973658849975,0.0279411764705881,0.00480769230769229,0.00848902593869028,-0.0474722146923285
"1983-07",-0.0413536248635459,0.017644253695756,-0.00173988690735105,0.000971257958919391,-0.0694888122087439
"1983-08",-0.0134637283140197,0.0159325210871604,-0.000435729847494515,-0.00309063465823334,-0.0452487995840597
"1983-09",-0.0277023356871265,0.0110701107011071,-0.000871839581517042,0.0049747656813266,-0.0228637783294626
"1983-10",-0.00893854748603351,0.0141423357664234,-0.00567190226876091,0.00168591721070377,-0.0377740441748965
"1983-11",-0.00232525366403613,0.0202429149797572,-0.00658183413777969,0.00322291853178158,-0.0391675042161389
"1983-12",0.00932269228052829,0.0220458553791887,0.00132508833922262,0.00435480992325532,-0.0279724309110653
"1984-01",-0.00405849835560845,-0.00215703192407246,-0.0172033524481694,0.00355403916551156,-0.0492649472877832
"1984-02",0.00147544438979841,0.00821444012105488,0.00224416517055648,0.00814534121896804,-0.0394724220623501
"1984-03",-0.000491090220289037,0.0154373927958833,0.0053739364084191,0.00386412337092068,-0.0270734508413641
"1984-04",0.0219695374464799,0.00802364864864868,0.00979955456570147,-0.00356930398572275,-0.00755973887337824
"1984-05",0.026098901098901,0.00921658986175111,-0.00176444640494045,0.00575943810359969,-0.00271493212669682
"1984-06",-0.0342034805890228,0.0112079701120797,0.00397702165267355,0.00160620133384537,-0.018179932590096
"1984-07",-0.0109501697969367,0.0102627257799672,0.00660211267605626,0.00571727383649989,-0.00590987831671452
"1984-08",0.00981010440753982,0.00934579439252325,0.00131176213379969,0.00305036569725115,0.00324080223137213
"1984-09",0.0602317673999029,0.00644122383252821,0,0.0108166015827487,0.0259750575899595
"1984-10",-0.0473198507755743,0.00800000000000001,-0.00305676855895198,0.00396581196581192,0.0262207081655828
"1984-11",0.00460291288815617,0.0087301587301587,-0.00350416119141483,0.00425662330586385,0.0342017905643295
"1984-12",-0.0248922929631402,0.00747442958300559,-0.00307692307692309,0.00223797090637823,-0.00192588269623573
"1985-01",-0.0429202608878603,-0.0124951190941038,0.0185185185185186,0.00311262983388039,-0.00786457724242784
"1985-02",0.0156078258958012,-0.00553578489521545,-0.0017316017316017,0.00603730311308981,0.0193261627621433
"1985-03",0.0255411255411255,0.00318091451292246,0.00173460537727665,-0.00191095614858527,-0.00210556746729629
"1985-04",-0.0119600393977768,-0.000792707094728451,0.00259740259740249,0.00712102381512203,-0.00839175695772254
"1985-05",-0.0232127598974651,0.000396667988893373,0.00086355785837644,0.000800453590367844,0.00131470029702485
"1985-06",0.0142149001312144,0.00198255352894527,-0.00301984469370142,-0.00406571799913358,-0.00466835246061081
"1985-07",-0.0236469488967153,0.0023743569449941,-0.0051925573344872,0.00220846578551104,-0.00530095759233928
"1985-08",-0.00758244994110724,0.00236873272799043,-0.000869943453675526,0.000801308804380563,-5.40288317493198e-05
"1985-09",-0.0121652696387509,0.00275699094131543,-0.00130605137135398,0.00243536280233525,0.0139303678088651
"1985-10",0.0177968010813245,0.00392772977219158,0.000871839581517042,0.00216320553780625,0.0116510028098054
"1985-11",-0.00383650582853767,0.00391236306729259,0.005226480836237,0.00043170723607755,0.00811684424757564
"1985-12",-0.0178492075248111,0.00311769290724873,-0.00389948006932406,0.00690433512580491,0.00731521945658375
"1986-01",-0.0195309554332252,-0.0120435120435121,-0.00391474554153981,0.0036592602360388,-0.0126379326605678
"1986-02",0.00276880479926156,-0.00471883602044831,0.00349344978165944,0.00285761208737068,-0.0230681058362785
"1986-03",-0.00398834177021012,0.00474120900829722,-0.0108790252393386,0.0107755797196385,0.0133659252016622
"1986-04",-0.0110888649314647,0.0047188360204482,-0.0131984161900572,-0.00317552898480278,0.00533567472646235
"1986-05",-0.0192337642111821,0.0050880626223091,0,0.00263303318922081,0.0178607418782091
"1986-06",0.0106391425168717,0.0050623052959502,-0.0106999554168524,0.000453897030216588,0.00166421513162862
"1986-07",-0.00125697226804933,0.0046493607129019,-0.0085624155024786,0.00136107330351942,-0.0146141717459346
"1986-08",0.00487689766380872,0.00578480524489011,-0.00318181818181817,-0.000776699029126249,0.00649598777225835
"1986-09",-0.00954990215264184,0.00690184049079745,-0.00683994528043774,-0.00505246793626113,0.0242264616552772
"1986-10",-0.00932585157670118,0.00799695354150809,-0.00459136822773187,-0.00628255208333328,0.00634773543380063
"1986-11",-0.00215396888711605,0.00717793728749538,-0.000922509225092294,-0.00232580993874276,-0.0234213494785792
"1986-12",0.0128717620722738,0.00562640660165048,0.0036934441366574,-0.00794588915156291,-0.0174580873894431
"1987-01",0.00584102928407915,-0.00671391271913468,0.0183992640294388,-0.00215132057986367,-0.0301960125716754
"1987-02",0.000784744565643924,-0.005257228689448,0,-0.0160867690470662,-0.0164116925269158
"1987-03",-0.0125460675919391,-0.00151000377500943,0.0117434507678411,-0.0140911542610572,-0.0145878920495989
"1987-04",-0.0176288414198364,-0.00491493383742914,-0.00491071428571432,-0.00461601586541749,-0.0118686030781796
