"","CANPROMANMISMEI","CANSTMNIS01STM","BSPRFT02FRM460S","FRAPROMANMISMEI","DEUPIEAMP02GPM","DEUPRMNCG02IXOBSAM","DEUPRMNVG01IXOBSAM","BSFGLV02DEM460S","DEUODMNTO01IXOBSAM","DEUPIEAFD02GPM","ITASLMNTO02IXOBSAM","ITAPROMANMISMEI","JPNPROMANMISMEI","HOHWMN03JPM661S","BSCICP02GBM460S","LCEAMN02GBM661S","GBRPROMANMISMEI","AMDMUO","CAPUTLGMFNS","CAPUTLGMFDS","AMTMUO","CAPGMFOS","CAPUTLGMFOS"
"1992-03",-0.00554007917391097,0.0156,0.02,0.00986449864498651,0.00647640928017378,-0.0240700218818409,-0.0353982300884954,0.151,-0.00927152317880775,0.00296867853573424,-0.0203125,-0.00263852242744811,-0.0142131979695375,-0.011861313868611,-0.2403783518,0.0144927536231896,0.00164744645798942,-0.00479435094819713,0.00693300000000008,0.0057100000000001,-0.00479435094819713,-7.78674850261396e-05,0.00543899999999997
"1992-04",0.0102783365102104,0.0153,-0.006,-0.0100901674538428,-9.78687905752001e-05,-0.00448430493273533,0.00458715596330261,0.149,-0.029411764705882,-0.00521920668058448,0.00159489633173782,0.000881834215167077,-0.00514933058702705,-0.00831024930747781,-0.2146217699,-0.0142857142857155,0.00164473684210464,0.00194113533895868,0.000856999999999886,0.00367899999999988,0.00194113533895868,-3.71161837173783e-05,0.000879999999999881
"1992-05",-0.00194927709964254,0.0152,0.004,0.00281934504445891,-2.42572656283301e-05,-0.00300300300300038,-0.00913242009132431,0.163,-0.0220385674931131,0.00097567709166647,0.00636942675159302,-0.00352422907488803,-0.0238095238095279,0.00651769087523157,-0.1337149023,0.0115942028985518,-0.0180623973727418,0.00191382643264038,-0.00268999999999986,0.00654300000000008,0.00191382643264038,5.12063849666955e-06,0.00500700000000009
"1992-06",0.0111336243811757,0.0148,0.007,-0.012651384083045,-2.42052048107601e-05,-0.0308734939759092,-0.0199692780337941,0.171,-0.0211267605633801,-0.00106966367105225,-0.0142405063291148,-0.000884173297965973,0.0222693531283149,-0.00925069380203347,-0.1717955594,0.0071633237822355,0.0217391304347823,-0.00507242196397173,0.00451599999999996,-0.00281500000000012,-0.00507242196397173,4.71998356059711e-05,0.00376699999999996
"1992-07",-0.0113002520348727,0.015,-0.015,-0.00503778337531491,-0.00759219088937094,-0.0132090132090116,-0.0376175548589341,0.182,-0.0230215827338129,-0.00103519668737065,0.0192616372391659,-0.0141592920353996,-0.00311203319502085,0.00186741363211906,-0.2225649426,0.00284495021336939,0,-0.00922587281782128,0.00387100000000007,0.00628300000000015,-0.00922587281782128,9.95378957531212e-05,0.00221800000000005
"1992-08",0.00360433774211866,0.0149,-0.058,0.00330214639515702,-0.00106044538706253,0.0023622047244134,0.0130293159609121,0.203,0.00883652430044135,-0.00304215829190583,-0.0992125984251976,-0.018850987432674,-0.0322580645161272,-0.0139794967381148,-0.2936078582,0.00851063829787302,-0.00818330605564588,-0.0102264869914663,-0.00485500000000005,-0.00684000000000007,-0.0102264869914663,0.000143807965976239,-0.00748000000000004
"1992-09",0.00134286874238732,0.015,-0.102,-0.0156884256719694,-0.00107642626480082,-0.01335428122545,-0.00482315112540199,0.238,0.00729927007299191,-0.00413223140495871,0.0909090909090906,-0.00731930466605279,0.0430107526881705,-0.00378071833648619,-0.2907097489,0,0.00165016501650239,-0.0069267880332784,0.000793999999999961,-0.0020079999999999,-0.0069267880332784,0.000168615147038365,-0.00157399999999996
"1992-10",0.00838947105788446,0.0146,-0.144,0.00390102541239412,-0.00321210875967416,-0.00477707006369421,0,0.26,-0.0565217391304348,-0.00813937120666391,0.0144230769230778,0.00552995391704769,-0.0329896907216445,0.0341555977229568,-0.2314309191,0.00562587904360101,0.0049423393739696,0.00529693254239527,-0.000812000000000035,0.00585799999999992,0.00529693254239527,0.000187602988552915,-0.00231400000000004
"1992-11",0.00271136815843498,0.0147,-0.147,-0.00566226268457859,0.00213566062950128,0,-0.0226171243941842,0.298,0.0107526881720446,-0.00102459016393463,-0.00947867298578142,0.0109990834097191,-0.0138592750533061,-0.0302752293577927,-0.2813387041,0.00559440559440616,-0.0098360655737707,-0.00857038817913802,0.000927000000000011,0.00182500000000008,-0.00857038817913802,0.000199447389784058,-0.00170099999999995
"1992-12",0.0108161460796603,0.0145,-0.16,-0.0166368914694061,2.50854616068399e-05,0.0103999999999931,-0.034710743801653,0.275,0.0212765957446805,-0.00203364246352966,0.00159489633173782,-0.0181323662737981,-0.0075675675675676,-0.0104068117313171,-0.2396471219,-0.00139082058414486,0,-0.0023630148352195,-0.00655800000000006,0.000695999999999919,-0.0023630148352195,0.000195286768235103,0.00564299999999984
