"","AUSLOCOBDNOSTSAM","LREMTTTTAUM156S","LFEMTTTTAUM657S","AUSLOCOBPNOSTSAM","ISRPERMITMISMEI","ISRCPGRLH01IXOBM","LFEAICTTKRM647S","LFESEETTKRM647S","LFEASETTKRM647S","KORPISPPR02GPM","KORCP120000GPM","KORCPGRSE01IXOBM","KORB6DBSE01CXCUSAM"
"1996-03",-0.257784540726173,-0.00259855799999997,-0.00319232292960611,-1.9106294378267,-27.686795389153,0.3018614791212,-0.00330625751769886,-0.00208905877093468,0.000517329125144794,-0.00760135135135134,-9.96077628782649e-05,3.9828688052376,-0.05273429720795
"1996-04",-0.308731098465206,0.00160292499999992,0.0038267890551764,-1.3458887095983,-1.60691988925301,0.301861479121293,0.000548299672074926,0.00287304819359657,0.00625822164370815,-0.0211853249084407,-9.31392725324298e-05,3.6398876379405,0.0346465963082874
"1996-05",-0.352288728873412,-0.000366003999999975,0.000435546475917704,-0.909263749431503,-26.970195979081,0.301861479121207,0.00285297002889218,0.00126017867511141,0.00313323835914026,-0.0045187677623352,0.00089997422316199,3.696693893774,0.0223513634331693
"1996-06",-0.392125354170657,-0.000358922999999955,0.000446121537849082,-0.620775400419689,-12.095329436673,0.704343451282895,0.00170660119334154,0.000903517893665162,-0.00109897235675205,0.00011384400752608,0.00191064677425911,3.6977657099219,-0.0550145088842072
"1996-07",-0.519678983771742,-0.000519533000000072,0.000274266797789099,-0.431499476385397,9.51122853368601,0.201240986080904,-0.00101260923898228,0.00444613411761474,0.00679481801900139,-0.00050756454552643,0.000953501582406821,3.4694688704398,0.00508980776511159
"1996-08",-1.12931171830313,-0.000994513999999946,-0.000545799822326026,-0.270807339168499,8.5557626535894,0.100620493040395,-0.00184421946970181,0.00442506916955332,0.0061648642095522,0.00323092118136329,-0.0100277722894812,3.4694688704398,0.0321001088139281
"1996-09",10.231704089566,-0.00120545000000005,-0.000913838813419977,-0.0865817382555036,16.3514956298297,0.201240986080698,-0.000134503185163171,0.00222832176068533,0.00487705182739551,0.00902453013928663,0.00170821337793138,3.4694688704397,-0.040347106767771
"1996-10",0.885225650564653,-0.000150889000000043,0.000760531159956245,0.1165290197481,-7.470005971661,1.06581410364015e-13,-0.00540680807341209,-0.00265114285085011,0.00463714521623526,0.0374741200828156,0.0102832365343303,3.413734430754,0.141088481365672
"1996-11",0.321620531109863,-0.000652639999999982,-0.000108239263764299,0.307126066523807,-4.3213115940717,-0.100620493040402,-0.00400632199239848,0.00281755607494971,0.00621251352325891,0.0017866737111513,-0.0122733546684113,3.29797828679121,-0.0457322718015183
"1996-12",0.0593435193999072,0.00103960600000008,0.00281826208470488,0.45564551807621,-5.51564394419209,-0.100620493040402,8.8603684347266e-06,0.00251469229697876,0.00471453580379411,-7.58449059670097e-05,-0.00211207664063565,3.0139470076233,-0.0446255335661622
"1997-01",-0.086822840290966,1.23309999999766e-05,0.00135162021448304,0.563777941306398,-6.601400626119,-0.100620493040502,0.00220803307368467,0.00364324306303621,0.00658183940932244,-0.005417558183925,0.0030633650922678,2.9003344959561,0.0516653127538587
"1997-02",-0.16775723834918,-0.000811043000000011,-7.27245861179259e-05,0.648700009804188,0.673169142795004,0.201240986080798,-0.00462121251011116,-0.000983637968282824,0.00291210352518689,-0.0109295145616889,-0.00301277939131501,2.9024781282518,0.00374633091302323
"1997-03",-0.184940133754683,-0.000552035000000006,0.000371579078486481,0.730158805741311,15.417744883372,7.105427357601e-15,-0.00124699564027986,0.00152446635670711,0.0033699436035417,-0.0030826140567201,0.00180116558713388,2.7299157284554,-0.0417484320289353
"1997-04",-0.136770500528784,-0.000969943999999945,-0.000914751403627585,0.819183731559207,12.030184035758,0,0.00514699616771552,0.0033896115368639,0.00418187146597893,0.00015467179779711,-7.64980888588801e-05,2.7288439123076,0.0241326694506907
"1997-05",-0.0227362444077597,-0.000123487000000089,0.000549599514466028,0.917960051671002,1.085756681928,-0.40248197216161,-0.00359719126008329,-0.0010253939841004,-0.000870234302005279,1.73034750364301e-05,-0.00104362868935918,2.78779380043679,0.0013722799451088
"1997-06",0.107156896116293,-0.000355820999999978,0.000145966509690196,1.01913584730569,6.557970358842,-0.100620493040495,-0.00494450427820958,-0.00041040194445463,0.00198939786923358,0.00436772046589028,-0.000982733998060003,2.786721984289,0.00156617071260778
"1997-07",0.170564729862854,0.000198103999999977,0.00131947263011621,1.10441274773281,-21.259115832142,-0.201240986080798,-0.00139331409684507,0.00145006179804064,0.00369940547952363,0.00480467933987877,-0.00188055413469845,2.7867219842889,0.0268960125097732
"1997-08",0.160281099063149,-0.00150291399999991,-0.00163307834225338,1.1538990968085,-1.7589258247227,-0.201240986080805,-0.00146850289510925,0.00368299762772017,0.00497534356912332,0.00416735255476494,-0.00968612554735561,2.7299157284553,-0.0384878940155322
"1997-09",0.113105402471881,0.00371786299999999,0.00744152964538079,1.1566018668444,-18.9790268000945,1.06581410364015e-13,-0.0157153627636341,-0.0103552331618284,-0.00344673612498803,-0.00470437860879123,-0.00467607209943671,2.9571407517897,0.0651700518668092
"1997-10",0.0604333100962531,-0.000994116999999961,-0.000789961528308648,1.1234914137756,-26.3404571035634,0.201240986080691,-0.00296393234715453,0.00223539373046533,0.00112893074352649,-0.00286474319623493,-0.00758911549132067,2.89926267980831,-0.076311192060365
"1997-11",0.00448114219014051,0.00350139099999991,0.00698973700997844,1.06672426058471,10.7707062847212,-0.201240986080791,-0.00409047175941879,0.00117243507488229,0.00272596195160357,0.0107607686886782,0.00922994395916542,2.9582125679375,-0.129255533199195
