"","LMUNRRTTATM156S","LRHUTTFEATM156S","LMUNRLTTBEM647S","LFHUTTTTBEM647S","LMUNRLTTIEM647S","LMUNRRTTNOM156S","LMUNRLTTESM647S","LFHUTTTTESM647S","LMUNRLTTCHM647S"
"2000-06",-0.000845413642510298,0,0.00988495958759195,-0.00993377483443714,0.00984880774148678,0.0254932401047491,-0.000131710431459431,0.00480307396733903,-0.00796311245501935
"2000-07",-0.0009434981354111,0,-0.00395585770249285,0,-0.00100474275719342,0.0259321057990784,0.00797614654457623,0.00525812619502863,-0.000910282049513822
"2000-08",-3.81765897013997e-05,0,0.012824687155489,0.0367892976588629,0.00614108587529261,0.0258846936108649,-0.00888362356365791,-0.00523062291963861,-0.028396305857342
"2000-09",-0.000858437149985999,0,-0.0206211038041436,-0.0225806451612903,-0.0108086347481386,0.0268045487727336,-0.00237645347163506,-0.00621414913957929,-0.0167798584865448
"2000-10",0.000491448768511198,-0.00100000000000001,0.0125214724090059,-0.0132013201320133,0.00686501541558893,0.0265561669111076,-0.00553312743979406,-0.00288600288600294,-0.0296238493663387
"2000-11",-0.000257312746295292,-0.000999999999999994,-0.00569919505332406,-0.0267558528428093,0.00729926319558294,0.0289224530888564,-0.00330731615856295,-0.0130246020260492,-0.0366934222870844
"2000-12",-0.000447997478294312,0,0.00234398397683677,-0.0446735395189003,-0.00780673000315979,0.0288202393054623,-0.00500297445979447,-0.0263929618768328,-0.0313045897939308
"2001-01",0.001696213451443,-0.001,0.00748303144609541,-0.0431654676258992,0.00821592438875607,0.0270372400528732,0.00679411075052894,-0.036144578313253,-0.0304012000893683
"2001-02",0.000165610949245602,0,-0.00229555855291208,-0.018796992481203,0.000619365988853482,0.0267433722380123,-0.014391536384373,-0.00468749999999996,-0.0128874039205359
"2001-03",7.88852737285059e-05,0,-0.00079954272365601,0.0153256704980842,0.0122662280040853,0.0258038948480537,0.00596854796793589,-0.0141287284144427,0.012555440690966
"2001-04",4.97819468757918e-05,0.001,0.00431717506852469,0.060377358490566,-0.00145770138186729,0.0255941424315881,-0.0135681866642289,-0.0159235668789809,0.0260016137797026
"2001-05",0.000782385449037006,0.000999999999999994,0.00193782019725575,0.0213523131672597,0.00868097065794182,0.0252760179663361,0.017691161437428,0.02319309600863,0.0347639071678489
"2001-06",0.000897576716819899,0.00100000000000001,-0.00685845896108872,-0.0313588850174216,-0.0122792431549311,0.0256075388593075,-0.0137488184424771,-0.00843437005798631,0.0230332547462466
