"","RBBEBIS","CCRETT01BEM661N","RNBEBIS","CCUSSP01BEM650N","CPGRLE01BEM657N","IR3TIB01BEM156N","IRSTCI01BEM156N","IRLTCT01BEM156N","IRLTLT01BEM156N","NBIEBIS","CCRETT01IEM661N","CPGRLE01IEM657N","CSINFT02NLM460S","NLDCPHPLA01IXOBM","IRLTLT01NLM156N","RBESBIS","CCUSMA02ESM661N","RNESBIS","CPGRLE01ESM657N","CPGRLE01CHM657N","IRSTCI01CHM156N"
"1999-03",-0.00952284469658593,2.0155041404159,0.63000000000001,-0.0250499183154836,0.00147880376854322,-0.000466999999999999,0.029252,0.00190000000000001,0.0022,-0.0134759358288771,5.27864392411369,-0.002970921005634,0.067,-0.0699999999999932,0.00207,1.84999999999999,0.0294825299808168,1.14999999999999,0.00131466170743969,0.00114079979663991,-0.000732200000000001
"1999-04",-0.0061368517950291,0.997324719437898,-0.159999999999997,-0.0134984174269224,-0.00022528816562463,-0.003502,0.027091,-0.0016,-0.00149999999999999,-0.00975715524718113,3.2954549570064,0.00246890848347261,0.047,0.069999999999979,-0.00144,1.37,0.0170370736104439,0.780000000000001,-0.00099256190705849,-0.000807401264832807,-0.0020357
"1999-05",-0.00164659874446837,-0.777073031198199,-1.48999999999999,-0.0133056525431726,-0.00336521869853791,-0.001175,0.02551,0.0016,0.0018,-0.00459820451061965,0.308367223977314,0.00083484929933429,0.096,0.180000000000007,0.00198,0.329999999999998,0.00703302859430877,-0.0300000000000011,-0.00115086885215148,-5.43614462896003e-05,0.0003695
"1999-06",-0.0101020513349139,-1.71227058461879,-2.08,-0.0122417750573834,-0.000267777456753854,0.000476999999999998,0.025632,0.00360000000000001,0.0035,-0.0128684557853058,-0.917345143778505,-0.00134497622916433,0.03,0.0200000000000102,0.0032,-0.38000000000001,0.0241535103905062,-0.469999999999999,0.00028578812233801,0.000345561280386707,0.000428099999999999
"1999-07",0.000728938873268747,-1.9820855372556,-2.14,0.035437645236251,-0.00074801560223791,0.000497999999999998,0.025209,0.003,0.00300000000000001,0.000891364902506853,-0.609229335327299,-0.00026875605342407,0.069,-0.170000000000002,0.00308,-0.349999999999994,0.0026840641586221,-0.359999999999999,-0.00024262739260927,-0.00082035220889937,-0.0010599
"1999-08",0.00291363163371483,-1.77625249050901,-2.25999999999999,-0.0113147559379091,0.000334655864478955,0.000185000000000001,0.024427,0.0025,0.00239999999999999,0.00790381832350007,-0.941223780793806,0.00255575405951452,0.019,0.38000000000001,0.00209000000000001,-0.289999999999992,-0.0234496703828512,-0.540000000000006,-0.00121738954218047,0.00157737873791149,-0.000210900000000001
"1999-09",-0.00601784602614652,-3.4215085600248,-3.45999999999999,0.00870140924997642,0.00095898212499204,0.000317000000000001,0.024336,0.0018,0.0016,-0.010713496796996,-6.40846573407779,-0.00316883306846757,0.063,-0.600000000000023,0.00185,-1.68000000000001,0.0078554102825561,-1.55,-8.2517110726876e-05,0.000585300808742659,0.000875000000000001
"1999-10",0.00459290187891437,-3.7361783990748,-3.52,-0.0198781059540554,-0.00044937308520076,0.00649,0.025019,0.003,0.00240000000000001,0.00703360500167483,-7.608147670411,0.000847475932602507,0.031,-0.0899999999999892,0.00233999999999999,-1.86,-0.0178960715606745,-1.66999999999999,-0.00104574232358668,-0.00017128871658435,0.0013039
"1999-11",-0.0102867830423939,-3.6755189593122,-3.67,-0.0340572084569022,0.00336490734920216,0.000919999999999997,0.029355,-0.0029,-0.0028,-0.0178492239467849,-7.04973386692279,0.00376467594062601,-0.035,0.0900000000000034,-0.00271,-1.81,0.0367576694686924,-1.62,-7.38826974152802e-06,0.000132946885709083,-0.0002206
"1999-12",-0.00776902887139097,-4.6696566034929,-4.17,-0.00505100524908397,0.00186766442854613,-0.000216999999999995,0.030418,0.000900000000000012,0.0011,-0.0137713060164804,-7.8314256961679,0.0182912565262294,0.073,-0.019999999999996,0.000980000000000002,-2.53,0.0206053966124269,-2.06,0.00021367520466912,-0.00010265727669515,0.0040493
"2000-01",0.000846471272881066,-4.8536041297246,-4.04000000000001,-0.0253832371092972,-0.00036112525434383,-0.001029,0.030429,0.00339999999999999,0.0038,-0.00114455762847665,-7.2466297291633,0.00682683266548882,0.044,-0.489999999999995,0.0039,-2.64,-0.0016629899916093,-1.96000000000001,0.00074171294863897,-0.00107426591294919,-0.0017274
"2000-02",-0.00623744581879693,-4.76543773415621,-3.65000000000001,-0.00786436523337752,-0.00102442655706868,0.00193699999999999,0.032757,-0.000300000000000002,0,-0.00996906153317278,-6.33808593464781,0.00371277582464351,-0.072,-0.170000000000002,-0.000109999999999999,-2.59999999999999,0.0296286392138505,-1.69999999999999,0.0003518534505427,-0.00155551487010535,0.0075754
"2000-03",-0.00659574468085111,-4.397275352986,-3.32000000000001,-0.0165740168828495,0.00239324581059005,0.002102,0.035104,-0.0016,-0.0017,-0.0106481481481482,-5.43235748715701,0.00345528330399309,0.00299999999999997,-0.110000000000014,-0.00176,-2.65000000000001,0.0201190440976797,-1.75999999999999,0.00048461455885552,-0.00383034447444529,-0.0032939
"2000-04",-0.0063182694367101,-4.24573253578301,-3.39,-0.0489898461216373,-0.000904666858779939,0.00178300000000001,0.03685,-0.000699999999999999,-0.001,-0.0118156293869912,-5.5396372878246,0.00203222073298166,-0.078,0.170000000000016,-0.000979999999999995,-2.39,0.0204944280890118,-1.61,0.00191422648304701,0.00071042747621477,0.0101551
