"","BELLOCOBXNOSTSAM","BELXTIMVA01CXMLM","DNKLOCOXGNOSTSAM","IRLLOCOTXORSTSAM","XTIMVA01IEM657S","EXP4210","NLDXTIMVA01CXMLM","XTEXVA01NOM657S","EXP4550","IMP4550","EXP4700","ESPXTEXVA01CXMLM","XTIMVA01ESM657S","XTEXVA01CHM657S","CHEXTEXVA01CXMLM"
"1988-03",-3.72854618235774e-05,1788097346.88489,-0.00191018540018784,0.0524814443213879,0.128524669814354,257.5,1516298073.6152,0.000258167451482208,-29.8,8.2,139.3,1092406497.73816,0.0146052404003745,0.0614788359141767,1193188798.51843
"1988-04",0.000233033145355721,711442493.633871,-0.00154802010536148,-0.0709632216126317,-0.0508982776034028,110.6,1144573274.26082,0.0474308170789235,25.4,5.7,13.3000000000001,771324696.78856,0.00552300885288713,-0.0633284622186834,483786873.31396
"1988-05",0.000206388954812287,1180977508.09007,-0.00106108020574402,-0.0158353952327577,-0.00980543207668784,140.7,1186207037.83945,0.00760584161669409,4,5.2,-44.4,549213602.23648,-0.00130216741868003,-0.00176109409563855,459028037.25265
"1988-06",0.000496790376030898,1407419203.93664,-0.00124247841716962,0.0391209256477105,0.0117475303516805,203.1,1595276848.24398,-0.0255967204823229,-15.8,8.7,-53.5,675222470.70179,0.00090894609077026,-0.0126470018780149,630578711.97974
"1988-07",0.000670928353307954,432084265.958209,-0.00214880511735072,0.0511221081428299,-0.0371935022211377,183.7,25741557.0630207,-0.0389330533466981,-8.3,-0.5,53.6,102966500.64141,-0.122006632393702,-0.0148313858094122,386469727.73666
"1988-08",0.000785749088717758,743532778.31306,-0.00240230261559404,0.0626622867039404,0.0426861722173982,79.9,750395420.9852,0.0266309777374321,5.6,6.5,-69.1,190610380.75211,0.172133207090948,-0.0488647903848836,243880911.70847
"1988-09",0.000546482761277556,843442774.92677,-0.00200598017995079,-0.143644019472759,-0.0161372640574146,236.4,454201227.96419,0.00238812705526125,3.4,7.2,-18.1,655230021.65455,0.0361751636968375,0.0240566107154914,273369542.08981
"1988-10",2.49989927576522e-05,93967254.6875896,-0.000938887920090004,0.0185725940903378,0.0479661428500381,195.6,564691020.911458,0.0643884738391706,-8.1,6.4,-43.1,203971029.47989,-0.109541329617193,0.0225951434967763,63402923.7904
"1988-11",0.000193308414833337,557297301.90664,0.000308354480371253,-0.0294897308075455,0.0730529879958303,210.7,203858475.408049,-0.0356134149164418,-5.6,10.8,-61.9,459980604.45516,0.133259696800209,0.0463268288881024,169144792.676761
"1988-12",0.000477586990253132,-454766637.992741,0.0015173601854126,0.00963282812358734,0.0442040034002109,267.1,-654693992.356571,0.0141734059201786,-15.5,10.7,271.5,187365957.94612,0.0964434358960152,0.0662135276210343,-56499195.1348705
"1989-01",0.000507538221392156,1361477319.08735,0.00266814274469485,0.0181017309703186,-0.0194202576277686,186.5,1340547367.78922,0.134702341147428,11,22.6,-97.8,1050923835.94763,-0.0161428550717765,-0.0802939199427784,25160636.83218
"1989-02",0.000717551508204739,193226291.978809,0.00357814651538035,0.0534382908307125,-0.0128388154229133,54.3000000000001,-303033467.6012,-0.0462699533561522,-7.1,-3.1,100.9,-76050592.9207401,-0.0303409627120364,0.0335624112825224,-46321566.1789498
"1989-03",0.00141252020882909,-584276482.47298,0.00380943088053054,-0.040177552194847,-0.0459465522919997,-1,-310145349.41968,0.0502219933291261,13.4,1.4,-144.9,132608721.63461,0.0755158283711967,-0.0182320314206528,-410121565.01958
"1989-04",0.00130752282443147,409642732.57764,0.00343265018259564,0.138452892013969,0.125273580568462,135.4,141494313.34914,0.0886288887080433,64.9,5.2,-104.3,351596030.16005,-0.0417292207402842,-0.00154618143092537,33655416.8648896
"1989-05",0.000480568411794779,620849867.77689,0.00244674702278425,-0.103073821788543,-0.107868375297235,144.4,220294330.09901,-0.053301996635787,-16.7,1,-55.0000000000001,-102392739.95591,-0.0205716743348055,-0.0831856022536971,-224643325.10439
