"","EXP6021","XTEXVA01ILM667S","XTIMVA01ILM667S","XTEXVA01KRM657S","XTIMVA01KRM657S","KORXTIMVA01NCMLM","IMPKR"
"1990-01",-2.39989350372737,-0.00264049345619621,-0.0195328448789247,-0.0951423583489832,-0.0490466203405978,152154359062.53,-33.2
"1990-02",-1.12742487637885,0.0387793023306049,0.0595242277979744,0.135028272796021,0.110615300220063,722594288225.371,-163.1
"1990-03",-2.69850746268657,-0.0315530379483286,-0.0385155876031682,-0.0398425303810896,0.0187043353499052,590607887571.76,-210.6
"1990-04",0.305799648506153,0.0339265148064942,0.0403001558470297,-0.0251464512605766,-0.0394897897401865,563118361737.16,-19.3
"1990-05",-1.97577388963661,-0.0398657688478836,-0.041826002265643,0.00862305767616733,0.0259608816499821,864461836676.73,-150.2
"1990-06",-0.0206896551724138,-0.00401685732545365,-0.000908049807164746,0.0349044955038102,-0.0330229033931545,367927624203.01,-72.5999999999999
"1990-07",-1.92957746478873,0.100809656040054,-0.0304444897132922,0.0396407097574988,0.0198925322223274,475350742972.72,-17.7
"1990-08",0.424242424242424,-0.0617268064703849,0.138476647945926,-0.0103579008352436,0.0208933709158796,218108767334.97,-26.5999999999999
"1990-09",-3.44574468085106,0.123409977177129,0.0787752297087214,0.100417718291427,0.14641274795787,1100768240031.63,-184.9
"1990-10",-0.0969986950848193,-0.0661853897594314,-0.0350716723833392,-0.162847199903939,-0.0371879426948752,820588702738.38,-49.8999999999999
"1990-11",-0.797206165703275,0.0229359362560615,0.117680346332421,0.129997952859897,0.126757525378965,1692456643792.06,-158.4
"1990-12",-8.33729216152019,-0.0129256913906141,-0.117667030547877,0.0578415903885375,-0.102222823236569,824235996534.53,-164.6
"1991-01",-1.8051149239236,-0.000345035253220272,-0.0822310325165545,-0.072453067978359,0.0308343006555424,1166598376520.23,-114.1
"1991-02",-1.51708886208283,-0.110651871646912,-0.0386742070037036,0.01001217124236,0.0776357459676948,1198565464676.03,-111.1
