"","BSCICP03AUM665S","LCEAMN01ILM657S","ISRPPDMMINMEI","ISRPROMANMISMEI","ISRPIEAMP02GPM","PIEAMP02KRM659N","KORPPDMMINMEI","BSCICP03KRM665S","BSSPFT02KRM460S","BSOITE02KRM460S","KORPRMNTO01GPSAM","KORSLMNTO01IXOBSAM"
"1995-03",0.34689793851328,0.00560959292555815,0.00739247314402669,0.00252206809583821,0.00739247314402703,0.050038372985418,0.00617737902632753,-0.9435369569199,0.12,0.01,0.027522024243227,0.0320802317251687
"1995-04",0.262127786817531,0.0100951898547084,0.0158438958810807,0.022641509433962,0.0158438958810812,0.0531800766283526,0.00453150124250845,-0.52018885643021,0.1,-0.01,0.0029653505237712,0.0144249630322615
"1995-05",0.151856588471265,0.013338671181149,0.00919389269982518,0.0135301353013533,0.00919389269982358,0.0574888854821401,0.0037834691501748,-0.125732564533905,0.09,-0.03,-0.0148150528649934,-0.0101145322028873
"1995-06",0.0372309386697618,0.0149468432077565,0.0100862209069705,-0.0218446601941745,0.0100862209069704,0.0569726592332368,0.00318933024064938,0.258162310072706,0.08,-0.05,0.0391440501043841,0.0268069120961685
"1995-07",-0.0206979419256919,0.00620918031581996,-0.00370430031329516,0.0297766749379655,-0.00370430031329496,0.0556569343065693,0.00317919075144513,0.66314907994871,0.08,-0.07,-0.00288799598191868,-0.012116954956536
"1995-08",-0.0431682587627654,0.0098849065564787,0.0037180731729145,0.0060240963855418,0.00371807317291424,0.0526554698138901,0.00216076058772674,1.132501891449,0.06,-0.1,0,0.00628092317719875
"1995-09",-0.0539394635501168,0.00764513713914218,0.011596070068759,-0.00838323353293513,0.0115960700687597,0.0541641520820761,0.00431220353600703,1.6758398133413,0.04,-0.14,-0.00292784284095195,-0.00217871338142206
"1995-10",-0.0764111367347965,0.0126659794929239,0.012418404690933,0.00724637681159468,0.0124184046909331,0.0472547254725474,-0.000858737655646258,2.18196681245411,0.01,-0.17,0.00584130592655739,0.00814375497919739
"1995-11",-0.139850486548035,0.0101394476507534,0.00534675279393793,-0.00119904076738675,0.0053467527939388,0.0390076221790463,-0.00415413264575282,2.48254590548791,-0.02,-0.15,0.00869537920642913,0.00403898498551203
"1995-12",-0.273619477590313,0.00457324858108479,0.00516189579017756,0.0216086434573843,0.00516189579017646,0.0372300819061802,0.00186996547756046,2.43050230495379,-0.05,-0.14,0.0201039429869604,0.0201136860515969
