"","EXPCA","IMPCA","FRALOCOBXNOSTSAM","IMPGE","DEUXTIMVA01CXMLM","IMPUK","BOPGSTB","BOPSTB","WOTHAST","EXPMANUS","BSXRLV02USM086S","AUESA","BOPSIMP"
"1996-10",-0.228191667597454,332.800000000001,0.00132803209328447,511,-721397643.983711,58.2000000000003,-0.349190779794017,0.236259709805071,-0.809350000000002,1142.9,0.13,-0.0192307692307692,0.0193255613801737
"1996-11",0.544283646888568,1093.9,0.00122099403524589,243.8,-1789327827.5984,71.5,0.0954031650339111,0.0131594546532305,-0.885450000000002,-144.599999999999,0.12,-0.0239651416122004,-0.000690819772797058
"1996-12",-0.465748289757286,1013.8,0.00110539858310243,34.5999999999999,-2846892173.991,639.9,0.441249312052834,-0.0607301661596068,-0.687750000000001,-576,0.09,0.0066964285714286,-0.00337967585836085
"1997-01",1.51201543588844,1474.7,0.00123346155163739,168.4,-2909606975.7299,361.6,0.075799522673031,-0.104771396536689,-0.6294,3525.1,0.11,-0.199556541019956,0.0376878612716762
"1997-02",-0.378535018504294,1081.8,0.00164309855045186,377,-2804165292.8168,188.2,-0.132487354689857,0.0102978012802672,-0.00325000000000131,3335.4,0.05,0.240997229916897,0.00230243612596559
"1997-03",0.574157303370787,1306.3,0.00206544594694358,460.2,-4995590995.65501,345.5,-0.142491816693944,0.0557851239669422,-1.1005,6683.5,0.12,0.0200892857142858,-0.00370507595405711
"1997-04",0.277373304782297,1099.2,0.00240590402840124,594.8,-2160411241.49831,261.1,-0.0354288440892282,0.00352250489236794,-0.998049999999999,5662.4,0.13,0.0590809628008753,0.0008181480104128
"1997-05",-0.149754135002234,584,0.00280396814099437,311.9,-553957757.644897,215.6,0.0380905268365075,0.0210608424336973,-1.302,4803.8,0.09,0.105371900826446,0.013897146254459
"1997-06",-0.220491587802313,335.599999999999,0.00295936574184474,516.2,-149702653.299599,105.4,-0.147724565165595,0.00165520753756043,-0.56475,5982.1,0.1,-0.0504672897196262,0.0100417796672285
"1997-07",0.235983475255037,779.4,0.00278161346948957,157.6,-2613236685.2829,391.6,-0.0169136147609729,-0.0231346129401296,0.240400000000001,7087.7,0.13,-0.326771653543307,0.00645863570391869
"1997-08",-0.0993178717598912,393.4,0.00250420367338355,86.0999999999999,-3819883672.7628,227.7,0.243139485283663,0.0100195185426155,-1.04075,5053.9,0.11,0.494152046783626,0.00692191217823934
"1997-09",0.313389881853983,985.5,0.00186477236082561,241.2,-1949771580.7942,484.9,0.0601624156468032,-0.055913424375161,-1.3815,7013.3,0.03,-0.262230919765166,0.0200501253132832
"1997-10",0.137758044054896,1463.3,0.000976455162234435,435.2,-1330504187.7287,584.1,-0.0194195706117165,0.0549945414847162,0.117000000000001,5560.89999999999,0.04,0.249336870026525,-0.0174096174096174
"1997-11",-0.633976990522528,411.699999999999,0.000375222539621189,263,-1414763726.62521,237.1,0.0766861040818572,-0.0857586340706248,1.07925000000001,4938.3,0.08,-0.0934182590233545,0.0180753018503965
"1997-12",1.93575186928828,1426.6,-0.000237925107333004,564.9,-1717425176.1782,277.7,0.153586756591048,-0.000990379173740785,0.0295000000000023,6157.8,-0.02,-0.11943793911007,0.00512280701754375
"1998-01",-0.818649184039241,-457.6,-0.00070930532923863,208.9,-290382511.263107,115.4,-0.0454424661174595,0.0253505169239485,-0.217549999999999,4557.6,-0.09,0.321808510638298,-0.00383997765831179
"1998-02",1.13914174252276,489.199999999999,-0.000803448826029785,276.2,213539419.157394,144.4,0.0731254639940608,-0.0693370165745857,0.917500000000004,2503.8,-0.07,-0.179074446680081,0.0208858985141576
"1998-03",0.911610942249242,1324.7,-0.000813396919386866,920.1,2259929585.2849,329.4,0.113801452784504,0.0994360344315821,0.972249999999999,1925.7,-0.06,0.0318627450980393,-0.00659069064945761
"1998-04",-0.598422692870317,834.4,-0.000991876598423036,495.4,2673601919.7622,260.4,0.0822981366459627,0.0188984881209504,0.931999999999999,-1353,0,0.0332541567695961,0.0261921216309606
"1998-05",-0.104212860310423,435.800000000001,-0.00110713071973978,312.2,-652015649.911896,17.2999999999997,0.0187948350071736,-0.03404875463699,1.658,-1302.89999999999,-0.06,-0.0275862068965518,-0.00444474375378812
"1998-06",0.543316831683167,555.700000000001,-0.00138908366210466,536.6,2031691449.9946,542.7,-0.067244050133784,-0.0796872856946921,0.826499999999999,-494.400000000001,-0.05,-0.0945626477541371,0.0142731515930461
"1998-07",-1.68232329018215,-108.799999999999,-0.00191871297607127,519.7,2396687433.0194,54.5,0.0529931305201177,-0.0511177347242922,0.928199999999997,-2802.1,-0.08,-0.248041775456919,0.0113378684807257
"1998-08",-0.779214237743452,196.6,-0.00258035239893306,676.2,2793871363.747,222.5,0.14904294214639,-0.000942359038793805,1.5295,-2373.4,-0.11,0.472222222222222,0.00276971775257184
"1998-09",0.158935361216727,684.4,-0.00328508111987236,560.2,2507082730.7886,252,-0.075368105814824,-0.0133626788240843,2.5858,-1252.1,-0.08,0.0566037735849056,0.0136130474812575
"1998-10",-0.45538057742782,750.1,-0.0038308516761113,760.1,3569537744.1666,-83.9000000000001,-0.00033738191632926,0.051465901848311,2.6651,-132,-0.16,-0.0290178571428571,0.0244598715370141
"1998-11",-9.54216867469879,1005.8,-0.00384068478930488,655.9,1566335820.92941,386.8,0.0241646979412757,-0.00303076223670251,3.29675,-454.199999999997,-0.12,0.0988505747126436,-0.0127295756808107
"1998-12",-0.659943582510578,311.6,-0.00342274259493469,799,5628892119.9414,-62.4000000000001,-0.0282080010545047,0.0585195318437453,3.5714,-749.400000000001,-0.12,-0.0481171548117154,-0.000256591186092781
"1999-01",-0.932807963500619,1321.6,-0.00276249408890672,260,-631140678.375893,100.8,0.0767039674465921,-0.0676335439402642,4.7925,-2438.2,-0.02,-0.0725274725274725,0.00635226179018278
"1999-02",6.64197530864159,1327.8,-0.00198436784591238,543.1,1769078834.7618,335.5,0.163265306122449,0.0289542584321576,4.08799999999999,-1583.89999999999,0.03,0.177725118483412,0.0110941086457537
"1999-03",2.32229402261714,1708,-0.000914166099294622,159.599999999999,2767638673.4478,235.7,-0.0405566385098549,0.00538841490794795,2.65415,-1847.3,0.01,-0.040241448692153,0.00687350233320716
"1999-04",-0.499149039630439,1139.5,0.000453178586422132,155.8,-1327651626.6755,248.4,0.0128111067215984,-0.0172696144111955,1.3843,-107.200000000004,0.05,-0.0167714884696017,0.00331934615143736
"1999-05",1.95,1575.1,0.00168362841157244,500.8,3009722134.4108,378.3,0.117017719826145,0.00712013331313432,1.14325,-789.300000000003,0.04,-0.0639658848614072,0.0076154806491886
"1999-06",0.95441829850255,2761.5,0.00244940760455803,733.3,-564272748.293999,311.4,0.141973461039609,0.0318892900120338,1.1003,-73.5,0.08,0.118451025056948,0.00712427208524335
"1999-07",-0.156100025258905,2366.1,0.00305087738828314,696.5,-1236080348.4766,515.7,0.00908614363096283,0.0284256559766765,0.280800000000006,718.400000000001,0.03,-0.0875763747454176,0.0174693977978717
